year,city1,pop1,city2,pop2,ratio
1897,Мінск,90912,Віцебск,65871,1.38
1923,Мінск,106056,Віцебск,86641,1.224
1926,Мінск,123613,Віцебск,91201,1.355
1939,Мінск,238948,Віцебск,167299,1.428
1959,Мінск,515975,Гомель,168270,3.066
1970,Мінск,907104,Гомель,272253,3.332
1979,Мінск,1261869,Гомель,382785,3.297
1989,Мінск,1589436,Гомель,500846,3.174
1999,Мінск,1680500,Гомель,475500,3.534
2009,Мінск,1836808,Гомель,482652,3.806
2019,Мінск,2018281,Гомель,510459,3.954
2026,Мінск,1995091,Гомель,499853,3.991
