category,lat,lon
shop_grocery,53.8586839,27.5375399
post_office,53.8848946,27.5945362
shop_grocery,53.9155572,27.5979221
station,53.9301648,27.4754603
station,53.9481803,27.3777313
station,53.8082530,27.5796320
station,53.8836231,27.5345760
station,53.9867208,27.8469774
shop_grocery,53.8616699,27.9031343
cafe,53.9255414,27.5922902
shop_grocery,53.9351134,27.5821642
bank,53.9356711,27.5794256
bank,53.8587760,27.6340286
cafe,53.8506666,27.4208254
shop_grocery,53.8735842,27.5774107
shop_grocery,53.8659467,27.5703220
shop_grocery,53.8687692,27.5694738
bank,53.8844853,27.4387108
bank,53.9036259,27.5439547
post_office,53.8607762,27.4297803
post_office,53.8589654,27.4382605
bank,53.8452580,27.4572973
bank,53.9016393,27.4361600
post_office,53.9070371,27.4460918
post_office,53.9027648,27.4362262
post_office,53.8975926,27.4522186
post_office,53.9037203,27.4553225
post_office,53.8654920,27.4535000
post_office,53.8495197,27.4654572
cafe,53.8674201,27.4577699
cafe,53.8620056,27.4778252
cafe,53.8712291,27.4736849
cafe,53.8669883,27.4837616
post_office,53.8629491,27.4810892
post_office,53.8674815,27.4840026
bank,53.9274136,27.4812907
cafe,53.8611280,27.4653675
post_office,53.9274919,27.4814198
post_office,53.9291171,27.4735804
post_office,53.9206118,27.4927279
post_office,53.9314474,27.4913233
restaurant,53.9313004,27.4904273
cafe,53.8929892,27.4892089
restaurant,53.9077200,27.4938900
post_office,53.9056320,27.4973271
post_office,53.9117301,27.4890179
fap,53.9337468,27.5005676
post_office,53.8465588,27.5009549
post_office,53.8570400,27.4930900
post_office,53.8969295,27.4914139
fap,53.9072136,27.4848774
post_office,53.8431256,27.5158592
post_office,53.8428361,27.5041841
post_office,53.8553889,27.5199619
post_office,53.9082160,27.5152144
post_office,53.8671644,27.5110382
fap,53.9159429,27.5279941
post_office,53.9180454,27.5292862
post_office,53.9093577,27.5299407
post_office,53.9134730,27.5047371
post_office,53.8994977,27.5059856
post_office,53.8948842,27.5206205
cafe,53.9059255,27.5298126
post_office,53.8767626,27.5317188
post_office,53.8732619,27.5384380
restaurant,53.9126398,27.5384051
cafe,53.9238401,27.5187599
cafe,53.8931441,27.5494504
post_office,53.8440871,27.5327488
fap,53.9045199,27.5435272
restaurant,53.9051359,27.5443606
post_office,53.9040263,27.5440551
post_office,53.8961626,27.5456066
post_office,53.9111557,27.5451164
post_office,53.8507297,27.5454751
bank,53.8505265,27.5454186
shop_grocery,53.8324153,27.5530725
cafe,53.9090510,27.5481290
cafe,53.8955438,27.5470648
restaurant,53.9037892,27.5542116
restaurant,53.9151167,27.5503719
restaurant,53.9153333,27.5504034
post_office,53.9133978,27.5549159
restaurant,53.9016732,27.5539136
restaurant,53.9034229,27.5574471
restaurant,53.9044763,27.5569052
restaurant,53.8939499,27.5673644
post_office,53.9117080,27.5652170
bank,53.9594181,27.5377586
cafe,53.9321000,27.5421900
restaurant,53.9240074,27.5474059
restaurant,53.9023096,27.5560910
restaurant,53.9023316,27.5572057
restaurant,53.8989716,27.5564718
restaurant,53.8967055,27.5545971
restaurant,53.9010804,27.5606479
cafe,53.9120940,27.5635628
post_office,53.8988386,27.5633075
cafe,53.8941289,27.5660398
cafe,53.9077762,27.5550587
post_office,53.8635844,27.5708869
bank,53.8365499,27.5737452
restaurant,53.9199360,27.5726929
post_office,53.9126370,27.5805431
post_office,53.9286750,27.5748772
cafe,53.9033900,27.5636700
bank,53.9222243,27.5585629
cafe,53.8977150,27.5541099
post_office,53.9282956,27.5550836
cafe,53.8997288,27.5563469
restaurant,53.9261800,27.5642700
cafe,53.9167370,27.5585010
restaurant,53.9158695,27.5672308
bank,53.8803148,27.5669632
shop_grocery,53.8961759,27.5814949
fap,53.9012322,27.5766515
fap,53.8836900,27.5830000
cafe,53.9216933,27.5772996
cafe,53.9215000,27.5786700
cafe,53.9082199,27.5789856
fap,53.9085400,27.5833900
restaurant,53.9046798,27.5862328
post_office,53.9197200,27.5987300
post_office,53.9011797,27.6010071
shop_grocery,53.8309846,27.6072500
bank,53.8838547,27.5942965
restaurant,53.9092254,27.5978699
cafe,53.9157986,27.5974727
