territory_id,oblast,year,age_group,sex,locality,pop
BY-BR,BY-BR,2009,0-4,f,rural,12281
BY-BR,BY-BR,2009,0-4,f,urban,26285
BY-BR,BY-BR,2009,0-4,m,rural,13110
BY-BR,BY-BR,2009,0-4,m,urban,27350
BY-BR,BY-BR,2009,5-9,f,rural,12421
BY-BR,BY-BR,2009,5-9,f,urban,23271
BY-BR,BY-BR,2009,5-9,m,rural,12862
BY-BR,BY-BR,2009,5-9,m,urban,24685
BY-BR,BY-BR,2009,10-14,f,rural,14596
BY-BR,BY-BR,2009,10-14,f,urban,23568
BY-BR,BY-BR,2009,10-14,m,rural,15275
BY-BR,BY-BR,2009,10-14,m,urban,25174
BY-BR,BY-BR,2009,15-19,f,rural,11029
BY-BR,BY-BR,2009,15-19,f,urban,33616
BY-BR,BY-BR,2009,15-19,m,rural,13349
BY-BR,BY-BR,2009,15-19,m,urban,34713
BY-BR,BY-BR,2009,20-24,f,rural,12477
BY-BR,BY-BR,2009,20-24,f,urban,36682
BY-BR,BY-BR,2009,20-24,m,rural,15248
BY-BR,BY-BR,2009,20-24,m,urban,37639
BY-BR,BY-BR,2009,25-29,f,rural,12509
BY-BR,BY-BR,2009,25-29,f,urban,38647
BY-BR,BY-BR,2009,25-29,m,rural,14162
BY-BR,BY-BR,2009,25-29,m,urban,38039
BY-BR,BY-BR,2009,30-34,f,rural,14034
BY-BR,BY-BR,2009,30-34,f,urban,35943
BY-BR,BY-BR,2009,30-34,m,rural,14706
BY-BR,BY-BR,2009,30-34,m,urban,34602
BY-BR,BY-BR,2009,35-39,f,rural,15256
BY-BR,BY-BR,2009,35-39,f,urban,35549
BY-BR,BY-BR,2009,35-39,m,rural,16602
BY-BR,BY-BR,2009,35-39,m,urban,31968
BY-BR,BY-BR,2009,40-44,f,rural,15224
BY-BR,BY-BR,2009,40-44,f,urban,35170
BY-BR,BY-BR,2009,40-44,m,rural,17272
BY-BR,BY-BR,2009,40-44,m,urban,30537
BY-BR,BY-BR,2009,45-49,f,rural,16473
BY-BR,BY-BR,2009,45-49,f,urban,41308
BY-BR,BY-BR,2009,45-49,m,rural,18849
BY-BR,BY-BR,2009,45-49,m,urban,35067
BY-BR,BY-BR,2009,50-54,f,rural,16949
BY-BR,BY-BR,2009,50-54,f,urban,40706
BY-BR,BY-BR,2009,50-54,m,rural,17981
BY-BR,BY-BR,2009,50-54,m,urban,33068
BY-BR,BY-BR,2009,55-59,f,rural,14542
BY-BR,BY-BR,2009,55-59,f,urban,32909
BY-BR,BY-BR,2009,55-59,m,rural,13424
BY-BR,BY-BR,2009,55-59,m,urban,25410
BY-BR,BY-BR,2009,60-64,f,rural,13190
BY-BR,BY-BR,2009,60-64,f,urban,24291
BY-BR,BY-BR,2009,60-64,m,rural,10458
BY-BR,BY-BR,2009,60-64,m,urban,18151
BY-BR,BY-BR,2009,65-69,f,rural,15238
BY-BR,BY-BR,2009,65-69,f,urban,17191
BY-BR,BY-BR,2009,65-69,m,rural,9503
