year,origin_oblast,dest_oblast,age_group,migrants
2009,BY-HM,BY-BR,5-9,74
2009,BY-HM,BY-BR,50-54,40
2009,BY-HM,BY-BR,55-59,35
2009,BY-HM,BY-BR,60-64,41
2009,BY-HM,BY-BR,65-69,22
2009,BY-HM,BY-BR,70-74,13
2009,BY-HM,BY-BR,75-79,11
2009,BY-HM,BY-BR,80 и старше,12
2009,BY-HM,BY-HO,0-4,112
2009,BY-HM,BY-HO,10-14,25
2009,BY-HM,BY-HO,15-19,59
2009,BY-HM,BY-HO,20-24,422
2009,BY-HM,BY-HO,25-29,367
2009,BY-HM,BY-HO,30-34,195
2009,BY-HM,BY-HO,35-39,141
2009,BY-HM,BY-HO,40-44,129
2009,BY-HM,BY-HO,45-49,135
2009,BY-HM,BY-HO,5-9,43
2009,BY-HM,BY-HO,50-54,125
2009,BY-HM,BY-HO,55-59,65
2009,BY-HM,BY-HO,60-64,31
2009,BY-HM,BY-HO,65-69,12
2009,BY-HM,BY-HO,70-74,8
2009,BY-HM,BY-HO,75-79,4
2009,BY-HM,BY-HO,80 и старше,18
2009,BY-HM,BY-HO,Возраст не определен,1
2009,BY-HM,BY-HR,0-4,153
2009,BY-HM,BY-HR,10-14,20
2009,BY-HM,BY-HR,15-19,139
2009,BY-HM,BY-HR,20-24,915
2009,BY-HM,BY-HR,25-29,674
2009,BY-HM,BY-HR,30-34,350
2009,BY-HM,BY-HR,35-39,181
2009,BY-HM,BY-HR,40-44,152
2009,BY-HM,BY-HR,45-49,138
2009,BY-HM,BY-HR,5-9,73
2009,BY-HM,BY-HR,50-54,112
2009,BY-HM,BY-HR,55-59,91
2009,BY-HM,BY-HR,60-64,62
2009,BY-HM,BY-HR,65-69,26
2009,BY-HM,BY-HR,70-74,29
2009,BY-HM,BY-HR,75-79,8
2009,BY-HM,BY-HR,80 и старше,15
2009,BY-HM,BY-MA,0-4,93
2009,BY-HM,BY-MA,10-14,34
2009,BY-HM,BY-MA,15-19,169
2009,BY-HM,BY-MA,20-24,803
2009,BY-HM,BY-MA,25-29,601
2009,BY-HM,BY-MA,30-34,376
2009,BY-HM,BY-MA,35-39,230
2009,BY-HM,BY-MA,40-44,182
2009,BY-HM,BY-MA,45-49,160
2009,BY-HM,BY-MA,5-9,56
2009,BY-HM,BY-MA,50-54,143
2009,BY-HM,BY-MA,55-59,83
2009,BY-HM,BY-MA,60-64,65
2009,BY-HM,BY-MA,65-69,30
2009,BY-HM,BY-MA,70-74,26
2009,BY-HM,BY-MA,75-79,12
2009,BY-HM,BY-MA,80 и старше,8
2009,BY-HM,BY-MA,Возраст не определен,2
2009,BY-HM,BY-MI,0-4,1096
2009,BY-HM,BY-MI,10-14,566
2009,BY-HM,BY-MI,15-19,1237
2009,BY-HM,BY-MI,20-24,3774
2009,BY-HM,BY-MI,25-29,3245
2009,BY-HM,BY-MI,30-34,2061
2009,BY-HM,BY-MI,35-39,1362
2009,BY-HM,BY-MI,40-44,985
2009,BY-HM,BY-MI,45-49,936
2009,BY-HM,BY-MI,5-9,811
2009,BY-HM,BY-MI,50-54,803
2009,BY-HM,BY-MI,55-59,724
2009,BY-HM,BY-MI,60-64,607
2009,BY-HM,BY-MI,65-69,271
2009,BY-HM,BY-MI,70-74,280
2009,BY-HM,BY-MI,75-79,134
2009,BY-HM,BY-MI,80 и старше,203
2009,BY-HM,BY-VI,0-4,116
2009,BY-HM,BY-VI,10-14,18
2009,BY-HM,BY-VI,15-19,235
2009,BY-HM,BY-VI,20-24,1125
2009,BY-HM,BY-VI,25-29,622
2009,BY-HM,BY-VI,30-34,322
2009,BY-HM,BY-VI,35-39,198
2009,BY-HM,BY-VI,40-44,137
2009,BY-HM,BY-VI,45-49,128
2009,BY-HM,BY-VI,5-9,62
2009,BY-HM,BY-VI,50-54,118
2009,BY-HM,BY-VI,55-59,91
2009,BY-HM,BY-VI,60-64,68
2009,BY-HM,BY-VI,65-69,23
2009,BY-HM,BY-VI,70-74,28
2009,BY-HM,BY-VI,75-79,19
2009,BY-HM,BY-VI,80 и старше,10
2009,BY-HO,BY-BR,0-4,57
2009,BY-HO,BY-BR,10-14,30
2009,BY-HO,BY-BR,15-19,760
2009,BY-HO,BY-BR,20-24,729
2009,BY-HO,BY-BR,25-29,240
2009,BY-HO,BY-BR,30-34,110
2009,BY-HO,BY-BR,35-39,72
2009,BY-HO,BY-BR,40-44,58
2009,BY-HO,BY-BR,45-49,61
2009,BY-HO,BY-BR,5-9,48
2009,BY-HO,BY-BR,50-54,32
2009,BY-HO,BY-BR,55-59,26
2009,BY-HO,BY-BR,60-64,11
2009,BY-HO,BY-BR,65-69,14
2009,BY-HO,BY-BR,70-74,20
2009,BY-HO,BY-BR,75-79,25
2009,BY-HO,BY-BR,80 и старше,35
2009,BY-HO,BY-HM,0-4,94
2009,BY-HO,BY-HM,10-14,128
2009,BY-HO,BY-HM,15-19,3381
2009,BY-HO,BY-HM,20-24,4048
2009,BY-HO,BY-HM,25-29,842
2009,BY-HO,BY-HM,30-34,291
2009,BY-HO,BY-HM,35-39,175
2009,BY-HO,BY-HM,40-44,104
2009,BY-HO,BY-HM,45-49,108
2009,BY-HO,BY-HM,5-9,111
