year,origin_oblast,dest_oblast,age_group,migrants
2009,BY-MI,BY-HR,60-64,18
2009,BY-MI,BY-HR,65-69,17
2009,BY-MI,BY-HR,70-74,27
2009,BY-MI,BY-HR,75-79,19
2009,BY-MI,BY-HR,80 и старше,34
2009,BY-MI,BY-MA,0-4,63
2009,BY-MI,BY-MA,10-14,54
2009,BY-MI,BY-MA,15-19,1183
2009,BY-MI,BY-MA,20-24,1145
2009,BY-MI,BY-MA,25-29,494
2009,BY-MI,BY-MA,30-34,316
2009,BY-MI,BY-MA,35-39,217
2009,BY-MI,BY-MA,40-44,156
2009,BY-MI,BY-MA,45-49,153
2009,BY-MI,BY-MA,5-9,65
2009,BY-MI,BY-MA,50-54,121
2009,BY-MI,BY-MA,55-59,56
2009,BY-MI,BY-MA,60-64,41
2009,BY-MI,BY-MA,65-69,22
2009,BY-MI,BY-MA,70-74,38
2009,BY-MI,BY-MA,75-79,22
2009,BY-MI,BY-MA,80 и старше,38
2009,BY-MI,BY-MA,Возраст не определен,1
2009,BY-MI,BY-MI,0-4,925
2009,BY-MI,BY-MI,10-14,932
2009,BY-MI,BY-MI,15-19,7277
2009,BY-MI,BY-MI,20-24,5428
2009,BY-MI,BY-MI,25-29,3256
2009,BY-MI,BY-MI,30-34,1962
2009,BY-MI,BY-MI,35-39,1330
2009,BY-MI,BY-MI,40-44,1143
2009,BY-MI,BY-MI,45-49,1052
2009,BY-MI,BY-MI,5-9,1085
2009,BY-MI,BY-MI,50-54,846
2009,BY-MI,BY-MI,55-59,604
2009,BY-MI,BY-MI,60-64,500
2009,BY-MI,BY-MI,65-69,337
2009,BY-MI,BY-MI,70-74,438
2009,BY-MI,BY-MI,75-79,353
2009,BY-MI,BY-MI,80 и старше,617
2009,BY-MI,BY-VI,0-4,84
2009,BY-MI,BY-VI,10-14,41
2009,BY-MI,BY-VI,15-19,977
2009,BY-MI,BY-VI,20-24,1285
2009,BY-MI,BY-VI,25-29,460
2009,BY-MI,BY-VI,30-34,270
2009,BY-MI,BY-VI,35-39,188
2009,BY-MI,BY-VI,40-44,138
2009,BY-MI,BY-VI,45-49,134
2009,BY-MI,BY-VI,5-9,66
2009,BY-MI,BY-VI,50-54,92
2009,BY-MI,BY-VI,55-59,69
2009,BY-MI,BY-VI,60-64,45
2009,BY-MI,BY-VI,65-69,21
2009,BY-MI,BY-VI,70-74,31
2009,BY-MI,BY-VI,75-79,23
2009,BY-MI,BY-VI,80 и старше,36
2009,BY-MI,BY-VI,Возраст не определен,1
2009,BY-VI,BY-BR,0-4,43
2009,BY-VI,BY-BR,10-14,28
2009,BY-VI,BY-BR,15-19,174
2009,BY-VI,BY-BR,20-24,379
2009,BY-VI,BY-BR,25-29,193
2009,BY-VI,BY-BR,30-34,59
2009,BY-VI,BY-BR,35-39,43
2009,BY-VI,BY-BR,40-44,33
2009,BY-VI,BY-BR,45-49,26
2009,BY-VI,BY-BR,5-9,44
2009,BY-VI,BY-BR,50-54,21
2009,BY-VI,BY-BR,55-59,18
2009,BY-VI,BY-BR,60-64,7
2009,BY-VI,BY-BR,65-69,8
2009,BY-VI,BY-BR,70-74,15
2009,BY-VI,BY-BR,75-79,7
2009,BY-VI,BY-BR,80 и старше,23
2009,BY-VI,BY-HM,0-4,114
2009,BY-VI,BY-HM,10-14,150
2009,BY-VI,BY-HM,15-19,3184
2009,BY-VI,BY-HM,20-24,4032
2009,BY-VI,BY-HM,25-29,861
2009,BY-VI,BY-HM,30-34,345
2009,BY-VI,BY-HM,35-39,208
2009,BY-VI,BY-HM,40-44,130
2009,BY-VI,BY-HM,45-49,107
2009,BY-VI,BY-HM,5-9,126
2009,BY-VI,BY-HM,50-54,108
2009,BY-VI,BY-HM,55-59,65
2009,BY-VI,BY-HM,60-64,44
2009,BY-VI,BY-HM,65-69,36
2009,BY-VI,BY-HM,70-74,51
2009,BY-VI,BY-HM,75-79,53
2009,BY-VI,BY-HM,80 и старше,109
2009,BY-VI,BY-HO,0-4,27
2009,BY-VI,BY-HO,10-14,39
2009,BY-VI,BY-HO,15-19,307
2009,BY-VI,BY-HO,20-24,489
2009,BY-VI,BY-HO,25-29,220
2009,BY-VI,BY-HO,30-34,139
2009,BY-VI,BY-HO,35-39,132
2009,BY-VI,BY-HO,40-44,114
2009,BY-VI,BY-HO,45-49,109
2009,BY-VI,BY-HO,5-9,33
2009,BY-VI,BY-HO,50-54,64
2009,BY-VI,BY-HO,55-59,60
2009,BY-VI,BY-HO,60-64,18
2009,BY-VI,BY-HO,65-69,12
2009,BY-VI,BY-HO,70-74,13
2009,BY-VI,BY-HO,75-79,13
2009,BY-VI,BY-HO,80 и старше,17
2009,BY-VI,BY-HR,0-4,48
2009,BY-VI,BY-HR,10-14,21
2009,BY-VI,BY-HR,15-19,134
2009,BY-VI,BY-HR,20-24,442
2009,BY-VI,BY-HR,25-29,199
2009,BY-VI,BY-HR,30-34,72
2009,BY-VI,BY-HR,35-39,53
2009,BY-VI,BY-HR,40-44,55
2009,BY-VI,BY-HR,45-49,46
2009,BY-VI,BY-HR,5-9,20
2009,BY-VI,BY-HR,50-54,26
2009,BY-VI,BY-HR,55-59,16
2009,BY-VI,BY-HR,60-64,18
2009,BY-VI,BY-HR,65-69,11
2009,BY-VI,BY-HR,70-74,14
2009,BY-VI,BY-HR,75-79,10
2009,BY-VI,BY-HR,80 и старше,34
2009,BY-VI,BY-MA,0-4,61
2009,BY-VI,BY-MA,10-14,51
2009,BY-VI,BY-MA,15-19,1103
2009,BY-VI,BY-MA,20-24,1462
2009,BY-VI,BY-MA,25-29,480
2009,BY-VI,BY-MA,30-34,290
2009,BY-VI,BY-MA,35-39,231
2009,BY-VI,BY-MA,40-44,182
2009,BY-VI,BY-MA,45-49,144
2009,BY-VI,BY-MA,5-9,47
2009,BY-VI,BY-MA,50-54,83
2009,BY-VI,BY-MA,55-59,48
2009,BY-VI,BY-MA,60-64,30
2009,BY-VI,BY-MA,65-69,12
2009,BY-VI,BY-MA,70-74,19
2009,BY-VI,BY-MA,75-79,19
2009,BY-VI,BY-MA,80 и старше,21
2009,BY-VI,BY-MA,Возраст не определен,2
2009,BY-VI,BY-MI,0-4,139
2009,BY-VI,BY-MI,10-14,146
2009,BY-VI,BY-MI,15-19,1224
2009,BY-VI,BY-MI,20-24,1508
2009,BY-VI,BY-MI,25-29,716
2009,BY-VI,BY-MI,30-34,364
2009,BY-VI,BY-MI,35-39,282
2009,BY-VI,BY-MI,40-44,204
2009,BY-VI,BY-MI,45-49,186
2009,BY-VI,BY-MI,5-9,153
2009,BY-VI,BY-MI,50-54,133
2009,BY-VI,BY-MI,55-59,81
2009,BY-VI,BY-MI,60-64,52
2009,BY-VI,BY-MI,65-69,54
2009,BY-VI,BY-MI,70-74,46
2009,BY-VI,BY-MI,75-79,52
2009,BY-VI,BY-MI,80 и старше,66
2009,BY-VI,BY-VI,0-4,894
2009,BY-VI,BY-VI,10-14,807
2009,BY-VI,BY-VI,15-19,12517
2009,BY-VI,BY-VI,20-24,10402
2009,BY-VI,BY-VI,25-29,3776
2009,BY-VI,BY-VI,30-34,1921
2009,BY-VI,BY-VI,35-39,1454
2009,BY-VI,BY-VI,40-44,1165
2009,BY-VI,BY-VI,45-49,1110
2009,BY-VI,BY-VI,5-9,975
2009,BY-VI,BY-VI,50-54,914
2009,BY-VI,BY-VI,55-59,684
2009,BY-VI,BY-VI,60-64,474
2009,BY-VI,BY-VI,65-69,328
2009,BY-VI,BY-VI,70-74,448
2009,BY-VI,BY-VI,75-79,400
2009,BY-VI,BY-VI,80 и старше,742
2009,BY-VI,BY-VI,Возраст не определен,3
2019,BY-BR,BY-BR,0-4,3192
2019,BY-BR,BY-BR,10-14,9830
2019,BY-BR,BY-BR,15-19,16506
2019,BY-BR,BY-BR,20-24,14933
2019,BY-BR,BY-BR,25-29,22004
2019,BY-BR,BY-BR,30-34,29302
2019,BY-BR,BY-BR,35-39,31424
2019,BY-BR,BY-BR,40-44,28132
2019,BY-BR,BY-BR,45-49,28116
2019,BY-BR,BY-BR,5-9,6970
2019,BY-BR,BY-BR,50-54,30853
2019,BY-BR,BY-BR,55-59,35683
2019,BY-BR,BY-BR,60-64,37340
2019,BY-BR,BY-BR,65-69,27968
2019,BY-BR,BY-BR,70-74,18431
2019,BY-BR,BY-BR,75-79,10046
2019,BY-BR,BY-BR,80 и старше,12553
2019,BY-BR,BY-BR,Возраст не определен,0
2019,BY-BR,BY-HM,0-4,277
2019,BY-BR,BY-HM,10-14,851
2019,BY-BR,BY-HM,15-19,6700
2019,BY-BR,BY-HM,20-24,7379
2019,BY-BR,BY-HM,25-29,8469
2019,BY-BR,BY-HM,30-34,9490
2019,BY-BR,BY-HM,35-39,7857
2019,BY-BR,BY-HM,40-44,5701
2019,BY-BR,BY-HM,45-49,4652
2019,BY-BR,BY-HM,5-9,726
2019,BY-BR,BY-HM,50-54,4861
2019,BY-BR,BY-HM,55-59,6308
2019,BY-BR,BY-HM,60-64,6833
2019,BY-BR,BY-HM,65-69,5835
2019,BY-BR,BY-HM,70-74,4036
2019,BY-BR,BY-HM,75-79,2021
2019,BY-BR,BY-HM,80 и старше,2301
2019,BY-BR,BY-HM,Возраст не определен,0
2019,BY-BR,BY-HO,0-4,67
2019,BY-BR,BY-HO,10-14,180
2019,BY-BR,BY-HO,15-19,829
2019,BY-BR,BY-HO,20-24,914
2019,BY-BR,BY-HO,25-29,1053
2019,BY-BR,BY-HO,30-34,1304
2019,BY-BR,BY-HO,35-39,1141
2019,BY-BR,BY-HO,40-44,1137
2019,BY-BR,BY-HO,45-49,1168
2019,BY-BR,BY-HO,5-9,155
2019,BY-BR,BY-HO,50-54,1303
2019,BY-BR,BY-HO,55-59,1514
2019,BY-BR,BY-HO,60-64,1643
2019,BY-BR,BY-HO,65-69,1252
2019,BY-BR,BY-HO,70-74,888
2019,BY-BR,BY-HO,75-79,319
2019,BY-BR,BY-HO,80 и старше,377
2019,BY-BR,BY-HR,0-4,167
2019,BY-BR,BY-HR,10-14,311
2019,BY-BR,BY-HR,15-19,2203
2019,BY-BR,BY-HR,20-24,2141
2019,BY-BR,BY-HR,25-29,1938
2019,BY-BR,BY-HR,30-34,2065
2019,BY-BR,BY-HR,35-39,1953
2019,BY-BR,BY-HR,40-44,1620
2019,BY-BR,BY-HR,45-49,1748
2019,BY-BR,BY-HR,5-9,297
2019,BY-BR,BY-HR,50-54,2043
2019,BY-BR,BY-HR,55-59,2465
2019,BY-BR,BY-HR,60-64,2411
2019,BY-BR,BY-HR,65-69,1872
2019,BY-BR,BY-HR,70-74,1237
2019,BY-BR,BY-HR,75-79,712
2019,BY-BR,BY-HR,80 и старше,864
2019,BY-BR,BY-MA,0-4,32
2019,BY-BR,BY-MA,10-14,86
2019,BY-BR,BY-MA,15-19,574
2019,BY-BR,BY-MA,20-24,651
2019,BY-BR,BY-MA,25-29,548
2019,BY-BR,BY-MA,30-34,686
2019,BY-BR,BY-MA,35-39,667
2019,BY-BR,BY-MA,40-44,624
2019,BY-BR,BY-MA,45-49,653
2019,BY-BR,BY-MA,5-9,60
2019,BY-BR,BY-MA,50-54,927
2019,BY-BR,BY-MA,55-59,927
2019,BY-BR,BY-MA,60-64,986
2019,BY-BR,BY-MA,65-69,887
2019,BY-BR,BY-MA,70-74,559
2019,BY-BR,BY-MA,75-79,210
2019,BY-BR,BY-MA,80 и старше,219
2019,BY-BR,BY-MI,0-4,209
2019,BY-BR,BY-MI,10-14,621
2019,BY-BR,BY-MI,15-19,1489
2019,BY-BR,BY-MI,20-24,2297
2019,BY-BR,BY-MI,25-29,2702
2019,BY-BR,BY-MI,30-34,3554
2019,BY-BR,BY-MI,35-39,3384
2019,BY-BR,BY-MI,40-44,2588
2019,BY-BR,BY-MI,45-49,2522
2019,BY-BR,BY-MI,5-9,482
2019,BY-BR,BY-MI,50-54,2958
2019,BY-BR,BY-MI,55-59,3499
2019,BY-BR,BY-MI,60-64,3187
2019,BY-BR,BY-MI,65-69,2263
2019,BY-BR,BY-MI,70-74,1374
2019,BY-BR,BY-MI,75-79,782
2019,BY-BR,BY-MI,80 и старше,965
2019,BY-BR,BY-VI,0-4,39
2019,BY-BR,BY-VI,10-14,99
2019,BY-BR,BY-VI,15-19,448
2019,BY-BR,BY-VI,20-24,520
2019,BY-BR,BY-VI,25-29,466
2019,BY-BR,BY-VI,30-34,632
2019,BY-BR,BY-VI,35-39,714
2019,BY-BR,BY-VI,40-44,737
2019,BY-BR,BY-VI,45-49,747
2019,BY-BR,BY-VI,5-9,70
2019,BY-BR,BY-VI,50-54,847
2019,BY-BR,BY-VI,55-59,922
2019,BY-BR,BY-VI,60-64,1064
2019,BY-BR,BY-VI,65-69,1046
2019,BY-BR,BY-VI,70-74,708
2019,BY-BR,BY-VI,75-79,343
2019,BY-BR,BY-VI,80 и старше,310
2019,BY-HM,BY-BR,0-4,605
2019,BY-HM,BY-BR,10-14,496
2019,BY-HM,BY-BR,15-19,349
2019,BY-HM,BY-BR,20-24,879
2019,BY-HM,BY-BR,25-29,1362
2019,BY-HM,BY-BR,30-34,1612
2019,BY-HM,BY-BR,35-39,1411
2019,BY-HM,BY-BR,40-44,1180
2019,BY-HM,BY-BR,45-49,1027
2019,BY-HM,BY-BR,5-9,679
2019,BY-HM,BY-BR,50-54,1101
2019,BY-HM,BY-BR,55-59,1217
2019,BY-HM,BY-BR,60-64,1005
2019,BY-HM,BY-BR,65-69,727
2019,BY-HM,BY-BR,70-74,470
2019,BY-HM,BY-BR,75-79,231
2019,BY-HM,BY-BR,80 и старше,235
2019,BY-HM,BY-HO,0-4,339
2019,BY-HM,BY-HO,10-14,350
2019,BY-HM,BY-HO,15-19,308
2019,BY-HM,BY-HO,20-24,524
2019,BY-HM,BY-HO,25-29,827
2019,BY-HM,BY-HO,30-34,999
2019,BY-HM,BY-HO,35-39,1011
2019,BY-HM,BY-HO,40-44,905
2019,BY-HM,BY-HO,45-49,752
2019,BY-HM,BY-HO,5-9,421
2019,BY-HM,BY-HO,50-54,699
2019,BY-HM,BY-HO,55-59,810
2019,BY-HM,BY-HO,60-64,769
2019,BY-HM,BY-HO,65-69,657
2019,BY-HM,BY-HO,70-74,350
2019,BY-HM,BY-HO,75-79,165
2019,BY-HM,BY-HO,80 и старше,193
2019,BY-HM,BY-HO,Возраст не определен,0
2019,BY-HM,BY-HR,0-4,598
2019,BY-HM,BY-HR,10-14,507
2019,BY-HM,BY-HR,15-19,365
2019,BY-HM,BY-HR,20-24,694
2019,BY-HM,BY-HR,25-29,1077
2019,BY-HM,BY-HR,30-34,1282
2019,BY-HM,BY-HR,35-39,1188
2019,BY-HM,BY-HR,40-44,892
2019,BY-HM,BY-HR,45-49,802
2019,BY-HM,BY-HR,5-9,648
2019,BY-HM,BY-HR,50-54,902
2019,BY-HM,BY-HR,55-59,994
2019,BY-HM,BY-HR,60-64,953
2019,BY-HM,BY-HR,65-69,608
2019,BY-HM,BY-HR,70-74,345
2019,BY-HM,BY-HR,75-79,184
2019,BY-HM,BY-HR,80 и старше,234
2019,BY-HM,BY-MA,0-4,430
2019,BY-HM,BY-MA,10-14,320
2019,BY-HM,BY-MA,15-19,287
2019,BY-HM,BY-MA,20-24,544
2019,BY-HM,BY-MA,25-29,899
2019,BY-HM,BY-MA,30-34,1052
2019,BY-HM,BY-MA,35-39,984
2019,BY-HM,BY-MA,40-44,845
2019,BY-HM,BY-MA,45-49,752
2019,BY-HM,BY-MA,5-9,433
2019,BY-HM,BY-MA,50-54,725
2019,BY-HM,BY-MA,55-59,777
2019,BY-HM,BY-MA,60-64,821
2019,BY-HM,BY-MA,65-69,628
2019,BY-HM,BY-MA,70-74,326
2019,BY-HM,BY-MA,75-79,140
2019,BY-HM,BY-MA,80 и старше,186
2019,BY-HM,BY-MA,Возраст не определен,0
2019,BY-HM,BY-MI,0-4,7070
2019,BY-HM,BY-MI,10-14,8229
2019,BY-HM,BY-MI,15-19,6288
2019,BY-HM,BY-MI,20-24,5568
2019,BY-HM,BY-MI,25-29,8651
2019,BY-HM,BY-MI,30-34,13581
2019,BY-HM,BY-MI,35-39,13974
2019,BY-HM,BY-MI,40-44,11095
2019,BY-HM,BY-MI,45-49,8379
2019,BY-HM,BY-MI,5-9,9703
2019,BY-HM,BY-MI,50-54,6868
2019,BY-HM,BY-MI,55-59,7631
2019,BY-HM,BY-MI,60-64,7293
2019,BY-HM,BY-MI,65-69,5391
2019,BY-HM,BY-MI,70-74,3174
2019,BY-HM,BY-MI,75-79,1385
2019,BY-HM,BY-MI,80 и старше,1646
2019,BY-HM,BY-VI,0-4,380
2019,BY-HM,BY-VI,10-14,343
2019,BY-HM,BY-VI,15-19,395
2019,BY-HM,BY-VI,20-24,672
2019,BY-HM,BY-VI,25-29,914
2019,BY-HM,BY-VI,30-34,1142
2019,BY-HM,BY-VI,35-39,1043
2019,BY-HM,BY-VI,40-44,949
2019,BY-HM,BY-VI,45-49,785
2019,BY-HM,BY-VI,5-9,471
2019,BY-HM,BY-VI,50-54,869
2019,BY-HM,BY-VI,55-59,916
2019,BY-HM,BY-VI,60-64,1007
2019,BY-HM,BY-VI,65-69,735
2019,BY-HM,BY-VI,70-74,457
2019,BY-HM,BY-VI,75-79,222
2019,BY-HM,BY-VI,80 и старше,226
2019,BY-HO,BY-BR,0-4,95
2019,BY-HO,BY-BR,10-14,287
2019,BY-HO,BY-BR,15-19,758
2019,BY-HO,BY-BR,20-24,886
2019,BY-HO,BY-BR,25-29,1190
2019,BY-HO,BY-BR,30-34,1687
2019,BY-HO,BY-BR,35-39,1643
2019,BY-HO,BY-BR,40-44,1465
2019,BY-HO,BY-BR,45-49,1477
2019,BY-HO,BY-BR,5-9,231
2019,BY-HO,BY-BR,50-54,1903
2019,BY-HO,BY-BR,55-59,2206
2019,BY-HO,BY-BR,60-64,2261
2019,BY-HO,BY-BR,65-69,1790
2019,BY-HO,BY-BR,70-74,1088
2019,BY-HO,BY-BR,75-79,586
2019,BY-HO,BY-BR,80 и старше,1196
2019,BY-HO,BY-HM,0-4,256
2019,BY-HO,BY-HM,10-14,782
2019,BY-HO,BY-HM,15-19,5018
2019,BY-HO,BY-HM,20-24,5793
2019,BY-HO,BY-HM,25-29,6636
2019,BY-HO,BY-HM,30-34,8427
2019,BY-HO,BY-HM,35-39,7764
2019,BY-HO,BY-HM,40-44,5972
2019,BY-HO,BY-HM,45-49,4499
2019,BY-HO,BY-HM,5-9,643
2019,BY-HO,BY-HM,50-54,4794
2019,BY-HO,BY-HM,55-59,7118
2019,BY-HO,BY-HM,60-64,8659
2019,BY-HO,BY-HM,65-69,7983
2019,BY-HO,BY-HM,70-74,4528
2019,BY-HO,BY-HM,75-79,2405
2019,BY-HO,BY-HM,80 и старше,4471
2019,BY-HO,BY-HO,0-4,2683
2019,BY-HO,BY-HO,10-14,9055
2019,BY-HO,BY-HO,15-19,14582
2019,BY-HO,BY-HO,20-24,13534
2019,BY-HO,BY-HO,25-29,20550
2019,BY-HO,BY-HO,30-34,28772
2019,BY-HO,BY-HO,35-39,30885
2019,BY-HO,BY-HO,40-44,28044
2019,BY-HO,BY-HO,45-49,29436
2019,BY-HO,BY-HO,5-9,6750
2019,BY-HO,BY-HO,50-54,33115
2019,BY-HO,BY-HO,55-59,36971
2019,BY-HO,BY-HO,60-64,37346
2019,BY-HO,BY-HO,65-69,27557
2019,BY-HO,BY-HO,70-74,16426
2019,BY-HO,BY-HO,75-79,10248
2019,BY-HO,BY-HO,80 и старше,16868
2019,BY-HO,BY-HO,Возраст не определен,0
2019,BY-HO,BY-HR,0-4,59
2019,BY-HO,BY-HR,10-14,119
2019,BY-HO,BY-HR,15-19,388
2019,BY-HO,BY-HR,20-24,710
2019,BY-HO,BY-HR,25-29,707
2019,BY-HO,BY-HR,30-34,1221
2019,BY-HO,BY-HR,35-39,1138
2019,BY-HO,BY-HR,40-44,915
2019,BY-HO,BY-HR,45-49,900
2019,BY-HO,BY-HR,5-9,96
2019,BY-HO,BY-HR,50-54,1426
2019,BY-HO,BY-HR,55-59,1672
2019,BY-HO,BY-HR,60-64,1449
2019,BY-HO,BY-HR,65-69,1203
2019,BY-HO,BY-HR,70-74,702
2019,BY-HO,BY-HR,75-79,388
2019,BY-HO,BY-HR,80 и старше,772
2019,BY-HO,BY-MA,0-4,69
2019,BY-HO,BY-MA,10-14,265
2019,BY-HO,BY-MA,15-19,1215
2019,BY-HO,BY-MA,20-24,1410
2019,BY-HO,BY-MA,25-29,1494
2019,BY-HO,BY-MA,30-34,1921
2019,BY-HO,BY-MA,35-39,1778
2019,BY-HO,BY-MA,40-44,1624
2019,BY-HO,BY-MA,45-49,1723
2019,BY-HO,BY-MA,5-9,210
2019,BY-HO,BY-MA,50-54,2170
2019,BY-HO,BY-MA,55-59,2877
2019,BY-HO,BY-MA,60-64,2963
2019,BY-HO,BY-MA,65-69,2255
2019,BY-HO,BY-MA,70-74,1307
2019,BY-HO,BY-MA,75-79,723
2019,BY-HO,BY-MA,80 и старше,1216
2019,BY-HO,BY-MA,Возраст не определен,0
2019,BY-HO,BY-MI,0-4,146
2019,BY-HO,BY-MI,10-14,413
2019,BY-HO,BY-MI,15-19,964
2019,BY-HO,BY-MI,20-24,1796
2019,BY-HO,BY-MI,25-29,2244
2019,BY-HO,BY-MI,30-34,3506
2019,BY-HO,BY-MI,35-39,3488
2019,BY-HO,BY-MI,40-44,3055
2019,BY-HO,BY-MI,45-49,2593
2019,BY-HO,BY-MI,5-9,330
2019,BY-HO,BY-MI,50-54,3328
2019,BY-HO,BY-MI,55-59,4401
2019,BY-HO,BY-MI,60-64,4519
2019,BY-HO,BY-MI,65-69,3252
2019,BY-HO,BY-MI,70-74,1713
2019,BY-HO,BY-MI,75-79,1074
2019,BY-HO,BY-MI,80 и старше,1816
2019,BY-HO,BY-VI,0-4,41
2019,BY-HO,BY-VI,10-14,154
2019,BY-HO,BY-VI,15-19,479
2019,BY-HO,BY-VI,20-24,584
2019,BY-HO,BY-VI,25-29,739
2019,BY-HO,BY-VI,30-34,1270
2019,BY-HO,BY-VI,35-39,1393
2019,BY-HO,BY-VI,40-44,1201
2019,BY-HO,BY-VI,45-49,1124
2019,BY-HO,BY-VI,5-9,123
2019,BY-HO,BY-VI,50-54,1508
2019,BY-HO,BY-VI,55-59,1870
2019,BY-HO,BY-VI,60-64,2141
2019,BY-HO,BY-VI,65-69,1702
2019,BY-HO,BY-VI,70-74,935
2019,BY-HO,BY-VI,75-79,522
2019,BY-HO,BY-VI,80 и старше,844
2019,BY-HR,BY-BR,0-4,282
2019,BY-HR,BY-BR,10-14,366
2019,BY-HR,BY-BR,15-19,990
2019,BY-HR,BY-BR,20-24,1182
2019,BY-HR,BY-BR,25-29,1765
2019,BY-HR,BY-BR,30-34,1938
2019,BY-HR,BY-BR,35-39,1789
2019,BY-HR,BY-BR,40-44,1609
2019,BY-HR,BY-BR,45-49,1819
2019,BY-HR,BY-BR,5-9,342
2019,BY-HR,BY-BR,50-54,2289
2019,BY-HR,BY-BR,55-59,2690
2019,BY-HR,BY-BR,60-64,2827
2019,BY-HR,BY-BR,65-69,2360
2019,BY-HR,BY-BR,70-74,1784
2019,BY-HR,BY-BR,75-79,938
2019,BY-HR,BY-BR,80 и старше,1050
2019,BY-HR,BY-HM,0-4,280
2019,BY-HR,BY-HM,10-14,689
2019,BY-HR,BY-HM,15-19,4729
2019,BY-HR,BY-HM,20-24,5491
2019,BY-HR,BY-HM,25-29,7236
2019,BY-HR,BY-HM,30-34,8343
2019,BY-HR,BY-HM,35-39,6707
2019,BY-HR,BY-HM,40-44,4824
2019,BY-HR,BY-HM,45-49,4169
2019,BY-HR,BY-HM,5-9,659
2019,BY-HR,BY-HM,50-54,4854
2019,BY-HR,BY-HM,55-59,6978
2019,BY-HR,BY-HM,60-64,6894
2019,BY-HR,BY-HM,65-69,5980
2019,BY-HR,BY-HM,70-74,4148
2019,BY-HR,BY-HM,75-79,2345
2019,BY-HR,BY-HM,80 и старше,2689
2019,BY-HR,BY-HO,0-4,56
2019,BY-HR,BY-HO,10-14,112
2019,BY-HR,BY-HO,15-19,190
2019,BY-HR,BY-HO,20-24,287
2019,BY-HR,BY-HO,25-29,507
2019,BY-HR,BY-HO,30-34,518
2019,BY-HR,BY-HO,35-39,492
2019,BY-HR,BY-HO,40-44,484
2019,BY-HR,BY-HO,45-49,508
2019,BY-HR,BY-HO,5-9,76
2019,BY-HR,BY-HO,50-54,612
2019,BY-HR,BY-HO,55-59,681
2019,BY-HR,BY-HO,60-64,698
2019,BY-HR,BY-HO,65-69,686
2019,BY-HR,BY-HO,70-74,439
2019,BY-HR,BY-HO,75-79,212
2019,BY-HR,BY-HO,80 и старше,274
2019,BY-HR,BY-HR,0-4,2975
2019,BY-HR,BY-HR,10-14,6035
2019,BY-HR,BY-HR,15-19,11345
2019,BY-HR,BY-HR,20-24,11134
2019,BY-HR,BY-HR,25-29,17133
2019,BY-HR,BY-HR,30-34,22415
2019,BY-HR,BY-HR,35-39,22718
2019,BY-HR,BY-HR,40-44,20514
2019,BY-HR,BY-HR,45-49,23014
2019,BY-HR,BY-HR,5-9,4212
2019,BY-HR,BY-HR,50-54,26745
2019,BY-HR,BY-HR,55-59,30594
2019,BY-HR,BY-HR,60-64,29019
2019,BY-HR,BY-HR,65-69,21127
2019,BY-HR,BY-HR,70-74,15581
2019,BY-HR,BY-HR,75-79,10555
2019,BY-HR,BY-HR,80 и старше,13131
2019,BY-HR,BY-HR,Возраст не определен,0
2019,BY-HR,BY-MA,0-4,16
2019,BY-HR,BY-MA,10-14,60
2019,BY-HR,BY-MA,15-19,175
2019,BY-HR,BY-MA,20-24,312
2019,BY-HR,BY-MA,25-29,375
2019,BY-HR,BY-MA,30-34,425
2019,BY-HR,BY-MA,35-39,386
2019,BY-HR,BY-MA,40-44,373
2019,BY-HR,BY-MA,45-49,468
2019,BY-HR,BY-MA,5-9,42
2019,BY-HR,BY-MA,50-54,553
2019,BY-HR,BY-MA,55-59,642
2019,BY-HR,BY-MA,60-64,664
2019,BY-HR,BY-MA,65-69,620
2019,BY-HR,BY-MA,70-74,399
2019,BY-HR,BY-MA,75-79,195
2019,BY-HR,BY-MA,80 и старше,179
2019,BY-HR,BY-MA,Возраст не определен,0
2019,BY-HR,BY-MI,0-4,146
2019,BY-HR,BY-MI,10-14,421
2019,BY-HR,BY-MI,15-19,1119
2019,BY-HR,BY-MI,20-24,1329
2019,BY-HR,BY-MI,25-29,2100
2019,BY-HR,BY-MI,30-34,2737
2019,BY-HR,BY-MI,35-39,2442
2019,BY-HR,BY-MI,40-44,1932
2019,BY-HR,BY-MI,45-49,2107
2019,BY-HR,BY-MI,5-9,331
2019,BY-HR,BY-MI,50-54,2537
2019,BY-HR,BY-MI,55-59,3287
2019,BY-HR,BY-MI,60-64,3044
2019,BY-HR,BY-MI,65-69,2290
2019,BY-HR,BY-MI,70-74,1577
2019,BY-HR,BY-MI,75-79,1000
2019,BY-HR,BY-MI,80 и старше,1205
2019,BY-HR,BY-VI,0-4,35
2019,BY-HR,BY-VI,10-14,80
2019,BY-HR,BY-VI,15-19,261
2019,BY-HR,BY-VI,20-24,330
2019,BY-HR,BY-VI,25-29,396
2019,BY-HR,BY-VI,30-34,518
2019,BY-HR,BY-VI,35-39,522
2019,BY-HR,BY-VI,40-44,483
2019,BY-HR,BY-VI,45-49,530
2019,BY-HR,BY-VI,5-9,58
2019,BY-HR,BY-VI,50-54,733
2019,BY-HR,BY-VI,55-59,792
2019,BY-HR,BY-VI,60-64,923
2019,BY-HR,BY-VI,65-69,877
2019,BY-HR,BY-VI,70-74,656
2019,BY-HR,BY-VI,75-79,365
2019,BY-HR,BY-VI,80 и старше,337
2019,BY-MA,BY-BR,0-4,46
