year,territory_id,age_group,sex,locality,pop
2019,BY-BR,0-4,m,rural,11611
2019,BY-BR,0-4,m,total,44397
2019,BY-BR,0-4,m,urban,32786
2019,BY-BR,0-4,t,rural,22384
2019,BY-BR,0-4,t,total,85879
2019,BY-BR,0-4,t,urban,63495
2019,BY-BR,10-14,f,rural,11306
2019,BY-BR,10-14,f,total,38119
2019,BY-BR,10-14,f,urban,26813
2019,BY-BR,10-14,m,rural,12262
2019,BY-BR,10-14,m,total,40507
2019,BY-BR,10-14,m,urban,28245
2019,BY-BR,10-14,t,rural,23568
2019,BY-BR,10-14,t,total,78626
2019,BY-BR,10-14,t,urban,55058
2019,BY-BR,15-19,f,rural,7327
2019,BY-BR,15-19,f,total,30749
2019,BY-BR,15-19,f,urban,23422
2019,BY-BR,15-19,m,rural,8233
2019,BY-BR,15-19,m,total,33226
2019,BY-BR,15-19,m,urban,24993
2019,BY-BR,15-19,t,rural,15560
2019,BY-BR,15-19,t,total,63975
2019,BY-BR,15-19,t,urban,48415
2019,BY-BR,20-24,f,rural,6977
2019,BY-BR,20-24,f,total,28637
2019,BY-BR,20-24,f,urban,21660
2019,BY-BR,20-24,m,rural,8684
2019,BY-BR,20-24,m,total,30646
2019,BY-BR,20-24,m,urban,21962
2019,BY-BR,20-24,t,rural,15661
2019,BY-BR,20-24,t,total,59283
2019,BY-BR,20-24,t,urban,43622
2019,BY-BR,25-29,f,rural,9080
2019,BY-BR,25-29,f,total,43773
2019,BY-BR,25-29,f,urban,34693
2019,BY-BR,25-29,m,rural,10813
2019,BY-BR,25-29,m,total,42383
2019,BY-BR,25-29,m,urban,31570
2019,BY-BR,25-29,t,rural,19893
2019,BY-BR,25-29,t,total,86156
2019,BY-BR,25-29,t,urban,66263
2019,BY-BR,30-34,f,rural,11096
2019,BY-BR,30-34,f,total,52851
2019,BY-BR,30-34,f,urban,41755
2019,BY-BR,30-34,m,rural,11887
2019,BY-BR,30-34,m,total,51733
2019,BY-BR,30-34,m,urban,39846
2019,BY-BR,30-34,t,rural,22983
2019,BY-BR,30-34,t,total,104584
2019,BY-BR,30-34,t,urban,81601
2019,BY-BR,35-39,f,rural,11962
2019,BY-BR,35-39,f,total,52207
2019,BY-BR,35-39,f,urban,40245
2019,BY-BR,35-39,m,rural,12308
2019,BY-BR,35-39,m,total,48355
2019,BY-BR,35-39,m,urban,36047
2019,BY-BR,35-39,t,rural,24270
2019,BY-BR,35-39,t,total,100562
2019,BY-BR,35-39,t,urban,76292
2019,BY-BR,40-44,f,rural,13675
2019,BY-BR,40-44,f,total,49900
2019,BY-BR,40-44,f,urban,36225
2019,BY-BR,40-44,m,rural,13842
2019,BY-BR,40-44,m,total,46309
2019,BY-BR,40-44,m,urban,32467
2019,BY-BR,40-44,t,rural,27517
2019,BY-BR,40-44,t,total,96209
2019,BY-BR,40-44,t,urban,68692
2019,BY-BR,45-49,f,rural,14692
2019,BY-BR,45-49,f,total,50259
2019,BY-BR,45-49,f,urban,35567
2019,BY-BR,45-49,m,rural,15393
2019,BY-BR,45-49,m,total,44705
2019,BY-BR,45-49,m,urban,29312
2019,BY-BR,45-49,t,rural,30085
2019,BY-BR,45-49,t,total,94964
2019,BY-BR,45-49,t,urban,64879
2019,BY-BR,5-9,f,rural,10973
2019,BY-BR,5-9,f,total,41872
2019,BY-BR,5-9,f,urban,30899
2019,BY-BR,5-9,m,rural,11832
2019,BY-BR,5-9,m,total,43983
2019,BY-BR,5-9,m,urban,32151
2019,BY-BR,5-9,t,rural,22805
2019,BY-BR,5-9,t,total,85855
2019,BY-BR,5-9,t,urban,63050
2019,BY-BR,50-54,f,rural,14820
2019,BY-BR,50-54,f,total,48702
2019,BY-BR,50-54,f,urban,33882
2019,BY-BR,50-54,m,rural,15795
2019,BY-BR,50-54,m,total,43298
2019,BY-BR,50-54,m,urban,27503
2019,BY-BR,50-54,t,rural,30615
2019,BY-BR,50-54,t,total,92000
2019,BY-BR,50-54,t,urban,61385
2019,BY-BR,55-59,f,rural,16839
2019,BY-BR,55-59,f,total,54863
2019,BY-BR,55-59,f,urban,38024
2019,BY-BR,55-59,m,rural,17044
2019,BY-BR,55-59,m,total,46574
2019,BY-BR,55-59,m,urban,29530
2019,BY-BR,55-59,t,rural,33883
2019,BY-BR,55-59,t,total,101437
2019,BY-BR,55-59,t,urban,67554
2019,BY-BR,60-64,f,rural,16496
2019,BY-BR,60-64,f,total,53832
2019,BY-BR,60-64,f,urban,37336
2019,BY-BR,60-64,m,rural,14801
2019,BY-BR,60-64,m,total,41454
2019,BY-BR,60-64,m,urban,26653
2019,BY-BR,60-64,t,rural,31297
2019,BY-BR,60-64,t,total,95286
2019,BY-BR,60-64,t,urban,63989
2019,BY-BR,65-69,f,rural,13623
2019,BY-BR,65-69,f,total,43517
2019,BY-BR,65-69,f,urban,29894
2019,BY-BR,65-69,m,rural,10373
2019,BY-BR,65-69,m,total,29360
2019,BY-BR,65-69,m,urban,18987
2019,BY-BR,65-69,t,rural,23996
2019,BY-BR,65-69,t,total,72877
