year,territory_id,age_group,sex,locality,pop
2020,BY-VI,45-49,m,rural,9580
2020,BY-VI,45-49,m,total,38867
2020,BY-VI,45-49,m,urban,29287
2020,BY-VI,45-49,t,rural,18883
2020,BY-VI,45-49,t,total,82341
2020,BY-VI,45-49,t,urban,63458
2020,BY-VI,5-9,f,rural,5439
2020,BY-VI,5-9,f,total,29305
2020,BY-VI,5-9,f,urban,23866
2020,BY-VI,5-9,m,rural,5832
2020,BY-VI,5-9,m,total,31047
2020,BY-VI,5-9,m,urban,25215
2020,BY-VI,5-9,t,rural,11271
2020,BY-VI,5-9,t,total,60352
2020,BY-VI,5-9,t,urban,49081
2020,BY-VI,50-54,f,rural,10569
2020,BY-VI,50-54,f,total,42885
2020,BY-VI,50-54,f,urban,32316
2020,BY-VI,50-54,m,rural,10886
2020,BY-VI,50-54,m,total,37330
2020,BY-VI,50-54,m,urban,26444
2020,BY-VI,50-54,t,rural,21455
2020,BY-VI,50-54,t,total,80215
2020,BY-VI,50-54,t,urban,58760
2020,BY-VI,55-59,f,rural,12059
2020,BY-VI,55-59,f,total,47124
2020,BY-VI,55-59,f,urban,35065
2020,BY-VI,55-59,m,rural,12579
2020,BY-VI,55-59,m,total,39203
2020,BY-VI,55-59,m,urban,26624
2020,BY-VI,55-59,t,rural,24638
2020,BY-VI,55-59,t,total,86327
2020,BY-VI,55-59,t,urban,61689
2020,BY-VI,60-64,f,rural,12223
2020,BY-VI,60-64,f,total,50908
2020,BY-VI,60-64,f,urban,38685
2020,BY-VI,60-64,m,rural,11910
2020,BY-VI,60-64,m,total,39302
2020,BY-VI,60-64,m,urban,27392
2020,BY-VI,60-64,t,rural,24133
2020,BY-VI,60-64,t,total,90210
2020,BY-VI,60-64,t,urban,66077
2020,BY-VI,65-69,f,rural,9783
2020,BY-VI,65-69,f,total,42732
2020,BY-VI,65-69,f,urban,32949
2020,BY-VI,65-69,m,rural,8046
2020,BY-VI,65-69,m,total,27664
2020,BY-VI,65-69,m,urban,19618
2020,BY-VI,65-69,t,rural,17829
2020,BY-VI,65-69,t,total,70396
2020,BY-VI,65-69,t,urban,52567
2020,BY-VI,70-74,f,rural,7457
2020,BY-VI,70-74,f,total,30371
2020,BY-VI,70-74,f,urban,22914
2020,BY-VI,70-74,m,rural,4707
2020,BY-VI,70-74,m,total,17153
2020,BY-VI,70-74,m,urban,12446
2020,BY-VI,70-74,t,rural,12164
2020,BY-VI,70-74,t,total,47524
2020,BY-VI,70-74,t,urban,35360
2020,BY-VI,75-79,f,rural,6676
2020,BY-VI,75-79,f,total,20984
2020,BY-VI,75-79,f,urban,14308
2020,BY-VI,75-79,m,rural,2577
2020,BY-VI,75-79,m,total,8263
2020,BY-VI,75-79,m,urban,5686
2020,BY-VI,75-79,t,rural,9253
2020,BY-VI,75-79,t,total,29247
2020,BY-VI,75-79,t,urban,19994
2020,BY-VI,80 +,f,rural,13914
2020,BY-VI,80 +,f,total,39218
2020,BY-VI,80 +,f,urban,25304
2020,BY-VI,80 +,m,rural,3951
2020,BY-VI,80 +,m,total,11330
2020,BY-VI,80 +,m,urban,7379
2020,BY-VI,80 +,t,rural,17865
2020,BY-VI,80 +,t,total,50548
2020,BY-VI,80 +,t,urban,32683
2021,BY,0-4,f,rural,48134
2021,BY,0-4,f,total,234748
2021,BY,0-4,f,urban,186614
2021,BY,0-4,m,rural,51970
2021,BY,0-4,m,total,248150
2021,BY,0-4,m,urban,196180
2021,BY,0-4,t,rural,100104
2021,BY,0-4,t,total,482898
2021,BY,0-4,t,urban,382794
2021,BY,10-14,f,rural,52903
2021,BY,10-14,f,total,255580
2021,BY,10-14,f,urban,202677
2021,BY,10-14,m,rural,56027
2021,BY,10-14,m,total,269292
2021,BY,10-14,m,urban,213265
2021,BY,10-14,t,rural,108930
2021,BY,10-14,t,total,524872
2021,BY,10-14,t,urban,415942
2021,BY,15-19,f,rural,38236
2021,BY,15-19,f,total,224767
2021,BY,15-19,f,urban,186531
2021,BY,15-19,m,rural,41878
2021,BY,15-19,m,total,236095
2021,BY,15-19,m,urban,194217
2021,BY,15-19,t,rural,80114
2021,BY,15-19,t,total,460862
2021,BY,15-19,t,urban,380748
2021,BY,20-24,f,rural,39294
2021,BY,20-24,f,total,213958
2021,BY,20-24,f,urban,174664
2021,BY,20-24,m,rural,42905
2021,BY,20-24,m,total,224888
2021,BY,20-24,m,urban,181983
2021,BY,20-24,t,rural,82199
2021,BY,20-24,t,total,438846
2021,BY,20-24,t,urban,356647
2021,BY,25-29,f,rural,45524
2021,BY,25-29,f,total,281883
2021,BY,25-29,f,urban,236359
2021,BY,25-29,m,rural,53343
2021,BY,25-29,m,total,279371
2021,BY,25-29,m,urban,226028
2021,BY,25-29,t,rural,98867
2021,BY,25-29,t,total,561254
2021,BY,25-29,t,urban,462387
2021,BY,30-34,f,rural,60139
2021,BY,30-34,f,total,382015
2021,BY,30-34,f,urban,321876
2021,BY,30-34,m,rural,68520
2021,BY,30-34,m,total,378087
2021,BY,30-34,m,urban,309567
2021,BY,30-34,t,rural,128659
2021,BY,30-34,t,total,760102
2021,BY,30-34,t,urban,631443
2021,BY,35-39,f,rural,63974
2021,BY,35-39,f,total,389146
2021,BY,35-39,f,urban,325172
2021,BY,35-39,m,rural,70959
2021,BY,35-39,m,total,376437
2021,BY,35-39,m,urban,305478
2021,BY,35-39,t,rural,134933
2021,BY,35-39,t,total,765583
2021,BY,35-39,t,urban,630650
2021,BY,40-44,f,rural,65487
2021,BY,40-44,f,total,349943
2021,BY,40-44,f,urban,284456
2021,BY,40-44,m,rural,68872
2021,BY,40-44,m,total,330426
2021,BY,40-44,m,urban,261554
2021,BY,40-44,t,rural,134359
2021,BY,40-44,t,total,680369
2021,BY,40-44,t,urban,546010
2021,BY,45-49,f,rural,73502
2021,BY,45-49,f,total,337040
2021,BY,45-49,f,urban,263538
2021,BY,45-49,m,rural,75586
2021,BY,45-49,m,total,303877
2021,BY,45-49,m,urban,228291
2021,BY,45-49,t,rural,149088
2021,BY,45-49,t,total,640917
2021,BY,45-49,t,urban,491829
2021,BY,5-9,f,rural,53854
2021,BY,5-9,f,total,281213
2021,BY,5-9,f,urban,227359
2021,BY,5-9,m,rural,57005
2021,BY,5-9,m,total,297337
2021,BY,5-9,m,urban,240332
2021,BY,5-9,t,rural,110859
2021,BY,5-9,t,total,578550
2021,BY,5-9,t,urban,467691
2021,BY,50-54,f,rural,79098
2021,BY,50-54,f,total,330845
2021,BY,50-54,f,urban,251747
2021,BY,50-54,m,rural,81474
2021,BY,50-54,m,total,286321
2021,BY,50-54,m,urban,204847
2021,BY,50-54,t,rural,160572
2021,BY,50-54,t,total,617166
2021,BY,50-54,t,urban,456594
2021,BY,55-59,f,rural,87694
2021,BY,55-59,f,total,368478
2021,BY,55-59,f,urban,280784
2021,BY,55-59,m,rural,89371
2021,BY,55-59,m,total,304551
2021,BY,55-59,m,urban,215180
2021,BY,55-59,t,rural,177065
2021,BY,55-59,t,total,673029
2021,BY,55-59,t,urban,495964
2021,BY,60-64,f,rural,93761
2021,BY,60-64,f,total,392034
2021,BY,60-64,f,urban,298273
2021,BY,60-64,m,rural,87673
2021,BY,60-64,m,total,297220
2021,BY,60-64,m,urban,209547
2021,BY,60-64,t,rural,181434
2021,BY,60-64,t,total,689254
2021,BY,60-64,t,urban,507820
2021,BY,65-69,f,rural,73608
2021,BY,65-69,f,total,320498
2021,BY,65-69,f,urban,246890
2021,BY,65-69,m,rural,58429
2021,BY,65-69,m,total,209306
2021,BY,65-69,m,urban,150877
2021,BY,65-69,t,rural,132037
2021,BY,65-69,t,total,529804
2021,BY,65-69,t,urban,397767
2021,BY,70-74,f,rural,59320
2021,BY,70-74,f,total,250439
2021,BY,70-74,f,urban,191119
2021,BY,70-74,m,rural,36809
2021,BY,70-74,m,total,139105
2021,BY,70-74,m,urban,102296
2021,BY,70-74,t,rural,96129
2021,BY,70-74,t,total,389544
2021,BY,70-74,t,urban,293415
2021,BY,75-79,f,rural,45247
2021,BY,75-79,f,total,139291
2021,BY,75-79,f,urban,94044
2021,BY,75-79,m,rural,17669
2021,BY,75-79,m,total,59108
2021,BY,75-79,m,urban,41439
2021,BY,75-79,t,rural,62916
2021,BY,75-79,t,total,198399
2021,BY,75-79,t,urban,135483
2021,BY,80 +,f,rural,103136
2021,BY,80 +,f,total,276645
2021,BY,80 +,f,urban,173509
2021,BY,80 +,m,rural,27924
2021,BY,80 +,m,total,81551
2021,BY,80 +,m,urban,53627
2021,BY,80 +,t,rural,131060
2021,BY,80 +,t,total,358196
2021,BY,80 +,t,urban,227136
2021,BY-BR,0-4,f,rural,9869
2021,BY-BR,0-4,f,total,37510
2021,BY-BR,0-4,f,urban,27641
2021,BY-BR,0-4,m,rural,10693
2021,BY-BR,0-4,m,total,39816
2021,BY-BR,0-4,m,urban,29123
2021,BY-BR,0-4,t,rural,20562
2021,BY-BR,0-4,t,total,77326
2021,BY-BR,0-4,t,urban,56764
2021,BY-BR,10-14,f,rural,11100
2021,BY-BR,10-14,f,total,40089
2021,BY-BR,10-14,f,urban,28989
2021,BY-BR,10-14,m,rural,12021
2021,BY-BR,10-14,m,total,42529
2021,BY-BR,10-14,m,urban,30508
2021,BY-BR,10-14,t,rural,23121
2021,BY-BR,10-14,t,total,82618
2021,BY-BR,10-14,t,urban,59497
2021,BY-BR,15-19,f,rural,7247
2021,BY-BR,15-19,f,total,31266
2021,BY-BR,15-19,f,urban,24019
2021,BY-BR,15-19,m,rural,8326
2021,BY-BR,15-19,m,total,34060
2021,BY-BR,15-19,m,urban,25734
2021,BY-BR,15-19,t,rural,15573
2021,BY-BR,15-19,t,total,65326
2021,BY-BR,15-19,t,urban,49753
2021,BY-BR,20-24,f,rural,7319
2021,BY-BR,20-24,f,total,29009
2021,BY-BR,20-24,f,urban,21690
2021,BY-BR,20-24,m,rural,8506
2021,BY-BR,20-24,m,total,30618
2021,BY-BR,20-24,m,urban,22112
2021,BY-BR,20-24,t,rural,15825
2021,BY-BR,20-24,t,total,59627
2021,BY-BR,20-24,t,urban,43802
2021,BY-BR,25-29,f,rural,7624
2021,BY-BR,25-29,f,total,38012
2021,BY-BR,25-29,f,urban,30388
2021,BY-BR,25-29,m,rural,9479
2021,BY-BR,25-29,m,total,37187
2021,BY-BR,25-29,m,urban,27708
2021,BY-BR,25-29,t,rural,17103
2021,BY-BR,25-29,t,total,75199
2021,BY-BR,25-29,t,urban,58096
2021,BY-BR,30-34,f,rural,9644
2021,BY-BR,30-34,f,total,49642
2021,BY-BR,30-34,f,urban,39998
2021,BY-BR,30-34,m,rural,10899
2021,BY-BR,30-34,m,total,48778
2021,BY-BR,30-34,m,urban,37879
2021,BY-BR,30-34,t,rural,20543
2021,BY-BR,30-34,t,total,98420
2021,BY-BR,30-34,t,urban,77877
2021,BY-BR,35-39,f,rural,11192
2021,BY-BR,35-39,f,total,52689
2021,BY-BR,35-39,f,urban,41497
2021,BY-BR,35-39,m,rural,11755
2021,BY-BR,35-39,m,total,49802
2021,BY-BR,35-39,m,urban,38047
2021,BY-BR,35-39,t,rural,22947
2021,BY-BR,35-39,t,total,102491
2021,BY-BR,35-39,t,urban,79544
2021,BY-BR,40-44,f,rural,12879
2021,BY-BR,40-44,f,total,50498
2021,BY-BR,40-44,f,urban,37619
2021,BY-BR,40-44,m,rural,12858
2021,BY-BR,40-44,m,total,46326
2021,BY-BR,40-44,m,urban,33468
2021,BY-BR,40-44,t,rural,25737
2021,BY-BR,40-44,t,total,96824
2021,BY-BR,40-44,t,urban,71087
2021,BY-BR,45-49,f,rural,14332
2021,BY-BR,45-49,f,total,49975
2021,BY-BR,45-49,f,urban,35643
2021,BY-BR,45-49,m,rural,14859
2021,BY-BR,45-49,m,total,44363
2021,BY-BR,45-49,m,urban,29504
2021,BY-BR,45-49,t,rural,29191
2021,BY-BR,45-49,t,total,94338
2021,BY-BR,45-49,t,urban,65147
2021,BY-BR,5-9,f,rural,10720
2021,BY-BR,5-9,f,total,43348
2021,BY-BR,5-9,f,urban,32628
2021,BY-BR,5-9,m,rural,11541
2021,BY-BR,5-9,m,total,45956
2021,BY-BR,5-9,m,urban,34415
2021,BY-BR,5-9,t,rural,22261
2021,BY-BR,5-9,t,total,89304
2021,BY-BR,5-9,t,urban,67043
2021,BY-BR,50-54,f,rural,14642
2021,BY-BR,50-54,f,total,48702
2021,BY-BR,50-54,f,urban,34060
2021,BY-BR,50-54,m,rural,15315
2021,BY-BR,50-54,m,total,43080
2021,BY-BR,50-54,m,urban,27765
2021,BY-BR,50-54,t,rural,29957
2021,BY-BR,50-54,t,total,91782
2021,BY-BR,50-54,t,urban,61825
2021,BY-BR,55-59,f,rural,15587
2021,BY-BR,55-59,f,total,51157
2021,BY-BR,55-59,f,urban,35570
2021,BY-BR,55-59,m,rural,15927
2021,BY-BR,55-59,m,total,43072
2021,BY-BR,55-59,m,urban,27145
2021,BY-BR,55-59,t,rural,31514
2021,BY-BR,55-59,t,total,94229
2021,BY-BR,55-59,t,urban,62715
2021,BY-BR,60-64,f,rural,17031
2021,BY-BR,60-64,f,total,55194
2021,BY-BR,60-64,f,urban,38163
2021,BY-BR,60-64,m,rural,15697
2021,BY-BR,60-64,m,total,43247
2021,BY-BR,60-64,m,urban,27550
2021,BY-BR,60-64,t,rural,32728
2021,BY-BR,60-64,t,total,98441
2021,BY-BR,60-64,t,urban,65713
2021,BY-BR,65-69,f,rural,13815
2021,BY-BR,65-69,f,total,44893
2021,BY-BR,65-69,f,urban,31078
2021,BY-BR,65-69,m,rural,10627
2021,BY-BR,65-69,m,total,30220
2021,BY-BR,65-69,m,urban,19593
2021,BY-BR,65-69,t,rural,24442
2021,BY-BR,65-69,t,total,75113
2021,BY-BR,65-69,t,urban,50671
2021,BY-BR,70-74,f,rural,11824
2021,BY-BR,70-74,f,total,36325
2021,BY-BR,70-74,f,urban,24501
2021,BY-BR,70-74,m,rural,7258
2021,BY-BR,70-74,m,total,20454
2021,BY-BR,70-74,m,urban,13196
2021,BY-BR,70-74,t,rural,19082
2021,BY-BR,70-74,t,total,56779
2021,BY-BR,70-74,t,urban,37697
2021,BY-BR,75-79,f,rural,9428
2021,BY-BR,75-79,f,total,21125
2021,BY-BR,75-79,f,urban,11697
2021,BY-BR,75-79,m,rural,4031
2021,BY-BR,75-79,m,total,9673
2021,BY-BR,75-79,m,urban,5642
2021,BY-BR,75-79,t,rural,13459
2021,BY-BR,75-79,t,total,30798
2021,BY-BR,75-79,t,urban,17339
2021,BY-BR,80 +,f,rural,19475
2021,BY-BR,80 +,f,total,38010
2021,BY-BR,80 +,f,urban,18535
2021,BY-BR,80 +,m,rural,5692
2021,BY-BR,80 +,m,total,11419
2021,BY-BR,80 +,m,urban,5727
2021,BY-BR,80 +,t,rural,25167
2021,BY-BR,80 +,t,total,49429
2021,BY-BR,80 +,t,urban,24262
2021,BY-HM,0-4,f,total,46645
2021,BY-HM,0-4,f,urban,46645
2021,BY-HM,0-4,m,total,49128
2021,BY-HM,0-4,m,urban,49128
2021,BY-HM,0-4,t,total,95773
2021,BY-HM,0-4,t,urban,95773
2021,BY-HM,10-14,f,total,50190
2021,BY-HM,10-14,f,urban,50190
2021,BY-HM,10-14,m,total,52461
2021,BY-HM,10-14,m,urban,52461
2021,BY-HM,10-14,t,total,102651
2021,BY-HM,10-14,t,urban,102651
2021,BY-HM,15-19,f,total,57142
2021,BY-HM,15-19,f,urban,57142
2021,BY-HM,15-19,m,total,57463
2021,BY-HM,15-19,m,urban,57463
2021,BY-HM,15-19,t,total,114605
2021,BY-HM,15-19,t,urban,114605
2021,BY-HM,20-24,f,total,53178
2021,BY-HM,20-24,f,urban,53178
2021,BY-HM,20-24,m,total,53475
2021,BY-HM,20-24,m,urban,53475
2021,BY-HM,20-24,t,total,106653
2021,BY-HM,20-24,t,urban,106653
2021,BY-HM,25-29,f,total,73504
2021,BY-HM,25-29,f,urban,73504
2021,BY-HM,25-29,m,total,68358
2021,BY-HM,25-29,m,urban,68358
2021,BY-HM,25-29,t,total,141862
2021,BY-HM,25-29,t,urban,141862
2021,BY-HM,30-34,f,total,101011
2021,BY-HM,30-34,f,urban,101011
2021,BY-HM,30-34,m,total,95852
2021,BY-HM,30-34,m,urban,95852
2021,BY-HM,30-34,t,total,196863
2021,BY-HM,30-34,t,urban,196863
2021,BY-HM,35-39,f,total,97608
2021,BY-HM,35-39,f,urban,97608
2021,BY-HM,35-39,m,total,91686
2021,BY-HM,35-39,m,urban,91686
2021,BY-HM,35-39,t,total,189294
2021,BY-HM,35-39,t,urban,189294
2021,BY-HM,40-44,f,total,78492
2021,BY-HM,40-44,f,urban,78492
2021,BY-HM,40-44,m,total,74101
2021,BY-HM,40-44,m,urban,74101
2021,BY-HM,40-44,t,total,152593
2021,BY-HM,40-44,t,urban,152593
2021,BY-HM,45-49,f,total,66657
2021,BY-HM,45-49,f,urban,66657
2021,BY-HM,45-49,m,total,59304
2021,BY-HM,45-49,m,urban,59304
2021,BY-HM,45-49,t,total,125961
2021,BY-HM,45-49,t,urban,125961
2021,BY-HM,5-9,f,total,58751
2021,BY-HM,5-9,f,urban,58751
2021,BY-HM,5-9,m,total,62149
2021,BY-HM,5-9,m,urban,62149
2021,BY-HM,5-9,t,total,120900
2021,BY-HM,5-9,t,urban,120900
2021,BY-HM,50-54,f,total,60092
2021,BY-HM,50-54,f,urban,60092
2021,BY-HM,50-54,m,total,48797
2021,BY-HM,50-54,m,urban,48797
2021,BY-HM,50-54,t,total,108889
2021,BY-HM,50-54,t,urban,108889
2021,BY-HM,55-59,f,total,73887
2021,BY-HM,55-59,f,urban,73887
2021,BY-HM,55-59,m,total,56164
2021,BY-HM,55-59,m,urban,56164
2021,BY-HM,55-59,t,total,130051
2021,BY-HM,55-59,t,urban,130051
2021,BY-HM,60-64,f,total,77708
2021,BY-HM,60-64,f,urban,77708
2021,BY-HM,60-64,m,total,52907
2021,BY-HM,60-64,m,urban,52907
2021,BY-HM,60-64,t,total,130615
2021,BY-HM,60-64,t,urban,130615
2021,BY-HM,65-69,f,total,67717
2021,BY-HM,65-69,f,urban,67717
2021,BY-HM,65-69,m,total,39509
2021,BY-HM,65-69,m,urban,39509
2021,BY-HM,65-69,t,total,107226
2021,BY-HM,65-69,t,urban,107226
2021,BY-HM,70-74,f,total,53116
2021,BY-HM,70-74,f,urban,53116
2021,BY-HM,70-74,m,total,28388
2021,BY-HM,70-74,m,urban,28388
2021,BY-HM,70-74,t,total,81504
2021,BY-HM,70-74,t,urban,81504
2021,BY-HM,75-79,f,total,25473
2021,BY-HM,75-79,f,urban,25473
2021,BY-HM,75-79,m,total,11791
2021,BY-HM,75-79,m,urban,11791
2021,BY-HM,75-79,t,total,37264
2021,BY-HM,75-79,t,urban,37264
2021,BY-HM,80 +,f,total,50162
2021,BY-HM,80 +,f,urban,50162
2021,BY-HM,80 +,m,total,16920
2021,BY-HM,80 +,m,urban,16920
2021,BY-HM,80 +,t,total,67082
2021,BY-HM,80 +,t,urban,67082
2021,BY-HO,0-4,f,rural,7644
2021,BY-HO,0-4,f,total,35531
2021,BY-HO,0-4,f,urban,27887
2021,BY-HO,0-4,m,rural,8531
2021,BY-HO,0-4,m,total,38075
2021,BY-HO,0-4,m,urban,29544
2021,BY-HO,0-4,t,rural,16175
2021,BY-HO,0-4,t,total,73606
2021,BY-HO,0-4,t,urban,57431
2021,BY-HO,10-14,f,rural,8925
2021,BY-HO,10-14,f,total,39428
2021,BY-HO,10-14,f,urban,30503
2021,BY-HO,10-14,m,rural,9286
2021,BY-HO,10-14,m,total,41805
2021,BY-HO,10-14,m,urban,32519
2021,BY-HO,10-14,t,rural,18211
2021,BY-HO,10-14,t,total,81233
2021,BY-HO,10-14,t,urban,63022
2021,BY-HO,15-19,f,rural,5805
2021,BY-HO,15-19,f,total,31401
2021,BY-HO,15-19,f,urban,25596
2021,BY-HO,15-19,m,rural,6387
2021,BY-HO,15-19,m,total,34311
2021,BY-HO,15-19,m,urban,27924
2021,BY-HO,15-19,t,rural,12192
2021,BY-HO,15-19,t,total,65712
2021,BY-HO,15-19,t,urban,53520
2021,BY-HO,20-24,f,rural,6037
2021,BY-HO,20-24,f,total,31228
2021,BY-HO,20-24,f,urban,25191
2021,BY-HO,20-24,m,rural,6701
2021,BY-HO,20-24,m,total,31963
2021,BY-HO,20-24,m,urban,25262
2021,BY-HO,20-24,t,rural,12738
2021,BY-HO,20-24,t,total,63191
2021,BY-HO,20-24,t,urban,50453
2021,BY-HO,25-29,f,rural,6755
2021,BY-HO,25-29,f,total,40586
2021,BY-HO,25-29,f,urban,33831
2021,BY-HO,25-29,m,rural,8208
2021,BY-HO,25-29,m,total,41077
2021,BY-HO,25-29,m,urban,32869
2021,BY-HO,25-29,t,rural,14963
2021,BY-HO,25-29,t,total,81663
2021,BY-HO,25-29,t,urban,66700
2021,BY-HO,30-34,f,rural,8995
2021,BY-HO,30-34,f,total,53050
2021,BY-HO,30-34,f,urban,44055
2021,BY-HO,30-34,m,rural,10284
2021,BY-HO,30-34,m,total,51339
2021,BY-HO,30-34,m,urban,41055
2021,BY-HO,30-34,t,rural,19279
2021,BY-HO,30-34,t,total,104389
2021,BY-HO,30-34,t,urban,85110
2021,BY-HO,35-39,f,rural,9503
2021,BY-HO,35-39,f,total,56300
2021,BY-HO,35-39,f,urban,46797
2021,BY-HO,35-39,m,rural,10558
2021,BY-HO,35-39,m,total,53873
2021,BY-HO,35-39,m,urban,43315
2021,BY-HO,35-39,t,rural,20061
2021,BY-HO,35-39,t,total,110173
2021,BY-HO,35-39,t,urban,90112
2021,BY-HO,40-44,f,rural,9920
2021,BY-HO,40-44,f,total,52594
2021,BY-HO,40-44,f,urban,42674
2021,BY-HO,40-44,m,rural,10429
2021,BY-HO,40-44,m,total,47609
2021,BY-HO,40-44,m,urban,37180
2021,BY-HO,40-44,t,rural,20349
2021,BY-HO,40-44,t,total,100203
2021,BY-HO,40-44,t,urban,79854
2021,BY-HO,45-49,f,rural,11026
2021,BY-HO,45-49,f,total,51638
2021,BY-HO,45-49,f,urban,40612
2021,BY-HO,45-49,m,rural,11039
2021,BY-HO,45-49,m,total,45615
2021,BY-HO,45-49,m,urban,34576
2021,BY-HO,45-49,t,rural,22065
2021,BY-HO,45-49,t,total,97253
2021,BY-HO,45-49,t,urban,75188
2021,BY-HO,5-9,f,rural,8782
2021,BY-HO,5-9,f,total,42498
2021,BY-HO,5-9,f,urban,33716
2021,BY-HO,5-9,m,rural,9298
2021,BY-HO,5-9,m,total,45174
2021,BY-HO,5-9,m,urban,35876
2021,BY-HO,5-9,t,rural,18080
2021,BY-HO,5-9,t,total,87672
2021,BY-HO,5-9,t,urban,69592
2021,BY-HO,50-54,f,rural,12046
2021,BY-HO,50-54,f,total,51178
2021,BY-HO,50-54,f,urban,39132
2021,BY-HO,50-54,m,rural,11946
2021,BY-HO,50-54,m,total,44202
2021,BY-HO,50-54,m,urban,32256
2021,BY-HO,50-54,t,rural,23992
2021,BY-HO,50-54,t,total,95380
2021,BY-HO,50-54,t,urban,71388
2021,BY-HO,55-59,f,rural,13606
2021,BY-HO,55-59,f,total,55029
2021,BY-HO,55-59,f,urban,41423
2021,BY-HO,55-59,m,rural,13729
2021,BY-HO,55-59,m,total,45346
2021,BY-HO,55-59,m,urban,31617
2021,BY-HO,55-59,t,rural,27335
2021,BY-HO,55-59,t,total,100375
2021,BY-HO,55-59,t,urban,73040
2021,BY-HO,60-64,f,rural,14682
2021,BY-HO,60-64,f,total,57282
2021,BY-HO,60-64,f,urban,42600
2021,BY-HO,60-64,m,rural,13983
2021,BY-HO,60-64,m,total,44172
2021,BY-HO,60-64,m,urban,30189
2021,BY-HO,60-64,t,rural,28665
2021,BY-HO,60-64,t,total,101454
2021,BY-HO,60-64,t,urban,72789
2021,BY-HO,65-69,f,rural,11658
2021,BY-HO,65-69,f,total,47084
2021,BY-HO,65-69,f,urban,35426
2021,BY-HO,65-69,m,rural,9317
2021,BY-HO,65-69,m,total,31510
2021,BY-HO,65-69,m,urban,22193
2021,BY-HO,65-69,t,rural,20975
2021,BY-HO,65-69,t,total,78594
2021,BY-HO,65-69,t,urban,57619
2021,BY-HO,70-74,f,rural,8625
2021,BY-HO,70-74,f,total,35457
2021,BY-HO,70-74,f,urban,26832
2021,BY-HO,70-74,m,rural,5277
2021,BY-HO,70-74,m,total,19764
2021,BY-HO,70-74,m,urban,14487
2021,BY-HO,70-74,t,rural,13902
2021,BY-HO,70-74,t,total,55221
2021,BY-HO,70-74,t,urban,41319
2021,BY-HO,75-79,f,rural,5729
2021,BY-HO,75-79,f,total,18676
2021,BY-HO,75-79,f,urban,12947
2021,BY-HO,75-79,m,rural,2161
2021,BY-HO,75-79,m,total,7390
2021,BY-HO,75-79,m,urban,5229
2021,BY-HO,75-79,t,rural,7890
2021,BY-HO,75-79,t,total,26066
2021,BY-HO,75-79,t,urban,18176
2021,BY-HO,80 +,f,rural,14987
2021,BY-HO,80 +,f,total,41182
2021,BY-HO,80 +,f,urban,26195
2021,BY-HO,80 +,m,rural,4093
2021,BY-HO,80 +,m,total,11919
2021,BY-HO,80 +,m,urban,7826
2021,BY-HO,80 +,t,rural,19080
2021,BY-HO,80 +,t,total,53101
2021,BY-HO,80 +,t,urban,34021
2021,BY-HR,0-4,f,rural,4868
2021,BY-HR,0-4,f,total,27089
2021,BY-HR,0-4,f,urban,22221
2021,BY-HR,0-4,m,rural,5156
2021,BY-HR,0-4,m,total,28486
2021,BY-HR,0-4,m,urban,23330
2021,BY-HR,0-4,t,rural,10024
2021,BY-HR,0-4,t,total,55575
2021,BY-HR,0-4,t,urban,45551
2021,BY-HR,10-14,f,rural,5484
2021,BY-HR,10-14,f,total,29041
2021,BY-HR,10-14,f,urban,23557
2021,BY-HR,10-14,m,rural,5723
2021,BY-HR,10-14,m,total,30556
2021,BY-HR,10-14,m,urban,24833
2021,BY-HR,10-14,t,rural,11207
2021,BY-HR,10-14,t,total,59597
2021,BY-HR,10-14,t,urban,48390
2021,BY-HR,15-19,f,rural,3836
2021,BY-HR,15-19,f,total,24799
2021,BY-HR,15-19,f,urban,20963
2021,BY-HR,15-19,m,rural,4571
2021,BY-HR,15-19,m,total,25379
2021,BY-HR,15-19,m,urban,20808
2021,BY-HR,15-19,t,rural,8407
2021,BY-HR,15-19,t,total,50178
2021,BY-HR,15-19,t,urban,41771
2021,BY-HR,20-24,f,rural,4302
2021,BY-HR,20-24,f,total,22830
2021,BY-HR,20-24,f,urban,18528
2021,BY-HR,20-24,m,rural,4684
2021,BY-HR,20-24,m,total,24377
2021,BY-HR,20-24,m,urban,19693
2021,BY-HR,20-24,t,rural,8986
2021,BY-HR,20-24,t,total,47207
2021,BY-HR,20-24,t,urban,38221
2021,BY-HR,25-29,f,rural,4641
2021,BY-HR,25-29,f,total,27636
2021,BY-HR,25-29,f,urban,22995
2021,BY-HR,25-29,m,rural,6178
2021,BY-HR,25-29,m,total,28408
2021,BY-HR,25-29,m,urban,22230
2021,BY-HR,25-29,t,rural,10819
2021,BY-HR,25-29,t,total,56044
2021,BY-HR,25-29,t,urban,45225
2021,BY-HR,30-34,f,rural,5199
2021,BY-HR,30-34,f,total,37772
2021,BY-HR,30-34,f,urban,32573
2021,BY-HR,30-34,m,rural,6674
2021,BY-HR,30-34,m,total,38836
2021,BY-HR,30-34,m,urban,32162
2021,BY-HR,30-34,t,rural,11873
2021,BY-HR,30-34,t,total,76608
2021,BY-HR,30-34,t,urban,64735
2021,BY-HR,35-39,f,rural,5669
2021,BY-HR,35-39,f,total,37999
2021,BY-HR,35-39,f,urban,32330
2021,BY-HR,35-39,m,rural,6599
2021,BY-HR,35-39,m,total,37871
2021,BY-HR,35-39,m,urban,31272
