territory_id,scenario,jumpoff,year,pop,q10,q90
BY,base,official,2026,9056080,9056080,9056080
BY,base,official,2031,8752769,8621470,8879655
BY,base,official,2036,8442691,8201412,8678736
BY,base,official,2041,8138505,7806584,8480712
BY,base,official,2046,7836559,7424224,8267045
BY,base,official,2051,7529192,7041681,8045971
BY,base,official,2056,7204740,6640338,7817949
BY,base,official,2061,6866291,6212473,7595665
BY,base,official,2066,6529906,5779612,7356757
BY,base,official,2071,6203407,5358363,7174377
BY,base,official,2075,5970126,5044411,7037757
BY,negative,official,2026,9056080,,
BY,negative,official,2031,8513266,,
BY,negative,official,2036,7948674,,
BY,negative,official,2041,7455976,,
BY,negative,official,2046,6968609,,
BY,negative,official,2051,6476802,,
BY,negative,official,2056,6021037,,
BY,negative,official,2061,5557290,,
BY,negative,official,2066,5095047,,
BY,negative,official,2071,4652983,,
BY,negative,official,2075,4334636,,
BY,optimistic,official,2026,9056080,,
BY,optimistic,official,2031,8763732,,
BY,optimistic,official,2036,8488453,,
BY,optimistic,official,2041,8292808,,
BY,optimistic,official,2046,8121777,,
BY,optimistic,official,2051,7953674,,
BY,optimistic,official,2056,7774823,,
BY,optimistic,official,2061,7578831,,
BY,optimistic,official,2066,7385199,,
BY,optimistic,official,2071,7211784,,
BY,optimistic,official,2075,7106066,,
BY-BR,base,official,2026,1290628,1290628,1290628
BY-BR,base,official,2031,1240039,1220473,1259181
BY-BR,base,official,2036,1189941,1154121,1226749
BY-BR,base,official,2041,1142824,1092010,1195162
BY-BR,base,official,2046,1097942,1033251,1165269
BY-BR,base,official,2051,1051681,973642,1133710
BY-BR,base,official,2056,1002911,910505,1101205
BY-BR,base,official,2061,953752,845260,1075251
BY-BR,base,official,2066,907032,780109,1048777
BY-BR,base,official,2071,864206,720236,1030692
BY-BR,base,official,2075,834168,677216,1021661
BY-BR,negative,official,2026,1290628,,
BY-BR,negative,official,2031,1215215,,
BY-BR,negative,official,2036,1137346,,
BY-BR,negative,official,2041,1064580,,
BY-BR,negative,official,2046,993646,,
BY-BR,negative,official,2051,921447,,
BY-BR,negative,official,2056,849828,,
BY-BR,negative,official,2061,777938,,
BY-BR,negative,official,2066,708243,,
BY-BR,negative,official,2071,643126,,
BY-BR,negative,official,2075,596090,,
BY-BR,optimistic,official,2026,1290628,,
BY-BR,optimistic,official,2031,1244743,,
BY-BR,optimistic,official,2036,1203546,,
BY-BR,optimistic,official,2041,1172420,,
BY-BR,optimistic,official,2046,1147187,,
BY-BR,optimistic,official,2051,1122718,,
BY-BR,optimistic,official,2056,1095964,,
BY-BR,optimistic,official,2061,1068842,,
BY-BR,optimistic,official,2066,1045834,,
BY-BR,optimistic,official,2071,1029312,,
BY-BR,optimistic,official,2075,1021969,,
BY-HM,base,official,2026,1995091,1995091,1995091
BY-HM,base,official,2031,2024021,1997843,2048431
BY-HM,base,official,2036,2042139,1993738,2089107
BY-HM,base,official,2041,2052366,1984333,2120760
BY-HM,base,official,2046,2052136,1966608,2138779
BY-HM,base,official,2051,2044184,1942286,2148640
BY-HM,base,official,2056,2021787,1906289,2143258
BY-HM,base,official,2061,1981470,1850678,2121017
BY-HM,base,official,2066,1930431,1786064,2089504
BY-HM,base,official,2071,1870380,1714162,2043620
BY-HM,base,official,2075,1824694,1658555,2011607
BY-HM,negative,official,2026,1995091,,
BY-HM,negative,official,2031,1928056,,
BY-HM,negative,official,2036,1847936,,
BY-HM,negative,official,2041,1806143,,
BY-HM,negative,official,2046,1755591,,
BY-HM,negative,official,2051,1695591,,
BY-HM,negative,official,2056,1652769,,
BY-HM,negative,official,2061,1595008,,
BY-HM,negative,official,2066,1524865,,
BY-HM,negative,official,2071,1449406,,
BY-HM,negative,official,2075,1393004,,
BY-HM,optimistic,official,2026,1995091,,
BY-HM,optimistic,official,2031,2006744,,
BY-HM,optimistic,official,2036,2011766,,
BY-HM,optimistic,official,2041,2045249,,
