territory_id,scenario,year,pop,q10,q90
BY,base,2026,9056080,9011737,9101809
BY,base,2031,8752714,8600409,8896074
BY,base,2036,8441403,8186019,8694278
BY,base,2041,8137560,7779608,8501383
BY,base,2046,7835856,7369008,8290141
BY,base,2051,7528557,6988269,8089413
BY,base,2056,7204271,6561636,7840163
BY,base,2061,6865982,6152945,7579953
BY,base,2066,6529633,5739359,7354487
BY,base,2071,6203097,5346719,7142892
BY,base,2075,5969883,5039174,6985592
BY,negative,2026,9056080,,
BY,negative,2031,8513308,,
BY,negative,2036,7948741,,
BY,negative,2041,7456196,,
BY,negative,2046,6968488,,
BY,negative,2051,6476707,,
BY,negative,2056,6021051,,
BY,negative,2061,5557337,,
BY,negative,2066,5095032,,
BY,negative,2071,4652443,,
BY,negative,2075,4334254,,
BY,optimistic,2026,9056080,,
BY,optimistic,2031,8763707,,
BY,optimistic,2036,8488387,,
BY,optimistic,2041,8292800,,
BY,optimistic,2046,8121791,,
BY,optimistic,2051,7953741,,
BY,optimistic,2056,7774723,,
BY,optimistic,2061,7578788,,
BY,optimistic,2066,7385105,,
BY,optimistic,2071,7211606,,
BY,optimistic,2075,7105875,,
BY-BR,base,2026,1290628,1284308,1297145
BY-BR,base,2031,1240031,1218453,1260341
BY-BR,base,2036,1189760,1153765,1225401
BY-BR,base,2041,1142692,1092427,1193780
BY-BR,base,2046,1097844,1032436,1161491
BY-BR,base,2051,1051592,976125,1129933
BY-BR,base,2056,1002846,913390,1091363
BY-BR,base,2061,953709,854666,1052882
BY-BR,base,2066,906995,797222,1021571
BY-BR,base,2071,864164,744861,995089
BY-BR,base,2075,834135,704093,976054
BY-BR,negative,2026,1290628,,
BY-BR,negative,2031,1215221,,
BY-BR,negative,2036,1137355,,
BY-BR,negative,2041,1064611,,
BY-BR,negative,2046,993630,,
BY-BR,negative,2051,921434,,
BY-BR,negative,2056,849830,,
BY-BR,negative,2061,777944,,
BY-BR,negative,2066,708242,,
BY-BR,negative,2071,643057,,
BY-BR,negative,2075,596041,,
BY-BR,optimistic,2026,1290628,,
BY-BR,optimistic,2031,1244739,,
BY-BR,optimistic,2036,1203537,,
BY-BR,optimistic,2041,1172419,,
BY-BR,optimistic,2046,1147188,,
BY-BR,optimistic,2051,1122727,,
BY-BR,optimistic,2056,1095951,,
BY-BR,optimistic,2061,1068836,,
BY-BR,optimistic,2066,1045821,,
BY-BR,optimistic,2071,1029289,,
BY-BR,optimistic,2075,1021944,,
BY-HM,base,2026,1995091,1985322,2005165
BY-HM,base,2031,2024010,1988790,2057161
BY-HM,base,2036,2041855,1980081,2103022
BY-HM,base,2041,2052156,1961887,2143906
BY-HM,base,2046,2051977,1929723,2170941
BY-HM,base,2051,2044033,1897342,2196307
BY-HM,base,2056,2021674,1841336,2200119
BY-HM,base,2061,1981398,1775628,2187437
BY-HM,base,2066,1930363,1696733,2174215
BY-HM,base,2071,1870291,1612085,2153648
BY-HM,base,2075,1824625,1540165,2135064
BY-HM,negative,2026,1995091,,
BY-HM,negative,2031,1928065,,
BY-HM,negative,2036,1847951,,
BY-HM,negative,2041,1806192,,
BY-HM,negative,2046,1755556,,
BY-HM,negative,2051,1695563,,
BY-HM,negative,2056,1652773,,
BY-HM,negative,2061,1595022,,
BY-HM,negative,2066,1524858,,
BY-HM,negative,2071,1449205,,
BY-HM,negative,2075,1392865,,
BY-HM,optimistic,2026,1995091,,
BY-HM,optimistic,2031,2006739,,
BY-HM,optimistic,2036,2011752,,
BY-HM,optimistic,2041,2045248,,
BY-HM,optimistic,2046,2074727,,
BY-HM,optimistic,2051,2096725,,
BY-HM,optimistic,2056,2110191,,
BY-HM,optimistic,2061,2104531,,
BY-HM,optimistic,2066,2083621,,
BY-HM,optimistic,2071,2054438,,
BY-HM,optimistic,2075,2032664,,
BY-HO,base,2026,1316666,1310219,1323315
BY-HO,base,2031,1252992,1231189,1273515
BY-HO,base,2036,1188617,1152657,1224224
BY-HO,base,2041,1126155,1076618,1176504
BY-HO,base,2046,1064747,1001311,1126476
BY-HO,base,2051,1002688,930730,1077386
BY-HO,base,2056,939577,855765,1022510
BY-HO,base,2061,876817,785759,967994
BY-HO,base,2066,815930,717179,919002
BY-HO,base,2071,758577,653850,873504
BY-HO,base,2075,717085,605291,839089
BY-HO,negative,2026,1316666,,
BY-HO,negative,2031,1227423,,
BY-HO,negative,2036,1135271,,
BY-HO,negative,2041,1047730,,
BY-HO,negative,2046,961484,,
BY-HO,negative,2051,875296,,
BY-HO,negative,2056,791689,,
BY-HO,negative,2061,709195,,
BY-HO,negative,2066,629136,,
BY-HO,negative,2071,554040,,
BY-HO,negative,2075,499717,,
BY-HO,optimistic,2026,1316666,,
BY-HO,optimistic,2031,1258981,,
BY-HO,optimistic,2036,1204455,,
BY-HO,optimistic,2041,1158006,,
BY-HO,optimistic,2046,1115399,,
BY-HO,optimistic,2051,1073539,,
BY-HO,optimistic,2056,1030397,,
BY-HO,optimistic,2061,987091,,
BY-HO,optimistic,2066,946282,,
BY-HO,optimistic,2071,910352,,
BY-HO,optimistic,2075,886732,,
BY-HR,base,2026,976218,971438,981147
BY-HR,base,2031,930569,914376,945811
BY-HR,base,2036,887795,860936,914390
BY-HR,base,2041,847447,810170,885336
BY-HR,base,2046,807878,759746,854715
BY-HR,base,2051,767423,712349,824594
BY-HR,base,2056,726338,661547,790449
BY-HR,base,2061,686502,615208,757889
BY-HR,base,2066,648762,570243,730716
BY-HR,base,2071,613145,528497,706040
BY-HR,base,2075,587560,495959,687527
BY-HR,negative,2026,976218,,
BY-HR,negative,2031,911257,,
BY-HR,negative,2036,847176,,
BY-HR,negative,2041,787750,,
BY-HR,negative,2046,729335,,
BY-HR,negative,2051,670730,,
BY-HR,negative,2056,614399,,
BY-HR,negative,2061,559499,,
BY-HR,negative,2066,506633,,
BY-HR,negative,2071,456699,,
BY-HR,negative,2075,420571,,
BY-HR,optimistic,2026,976218,,
BY-HR,optimistic,2031,934265,,
BY-HR,optimistic,2036,898267,,
BY-HR,optimistic,2041,869763,,
BY-HR,optimistic,2046,844270,,
BY-HR,optimistic,2051,818876,,
BY-HR,optimistic,2056,792724,,
BY-HR,optimistic,2061,767712,,
BY-HR,optimistic,2066,745662,,
BY-HR,optimistic,2071,727089,,
BY-HR,optimistic,2075,715822,,
BY-MA,base,2026,962053,957342,966911
BY-MA,base,2031,910875,895025,925794
BY-MA,base,2036,859091,833100,884827
BY-MA,base,2041,809200,773605,845379
BY-MA,base,2046,761607,716232,805761
BY-MA,base,2051,715019,663706,768286
BY-MA,base,2056,668202,608597,727181
BY-MA,base,2061,621397,556864,686014
BY-MA,base,2066,576407,506645,649221
BY-MA,base,2071,534350,460580,615306
BY-MA,base,2075,504638,425964,590496
BY-MA,negative,2026,962053,,
BY-MA,negative,2031,889910,,
BY-MA,negative,2036,815745,,
BY-MA,negative,2041,746916,,
BY-MA,negative,2046,680784,,
BY-MA,negative,2051,616230,,
BY-MA,negative,2056,555079,,
BY-MA,negative,2061,494748,,
BY-MA,negative,2066,436663,,
BY-MA,negative,2071,382632,,
BY-MA,negative,2075,344252,,
BY-MA,optimistic,2026,962053,,
BY-MA,optimistic,2031,915161,,
BY-MA,optimistic,2036,870234,,
BY-MA,optimistic,2041,832305,,
BY-MA,optimistic,2046,798626,,
BY-MA,optimistic,2051,766807,,
BY-MA,optimistic,2056,734656,,
BY-MA,optimistic,2061,702015,,
BY-MA,optimistic,2066,671426,,
BY-MA,optimistic,2071,644744,,
BY-MA,optimistic,2075,627860,,
BY-MI,base,2026,1454737,1447614,1462083
BY-MI,base,2031,1395619,1371334,1418478
BY-MI,base,2036,1338370,1297879,1378463
BY-MI,base,2041,1285461,1228917,1342933
BY-MI,base,2046,1236595,1162920,1308286
BY-MI,base,2051,1191264,1105773,1280009
BY-MI,base,2056,1148273,1045845,1249627
BY-MI,base,2061,1107572,992550,1222745
BY-MI,base,2066,1069850,940367,1204999
BY-MI,base,2071,1035896,892883,1192838
BY-MI,base,2075,1014327,856192,1186903
BY-MI,negative,2026,1454737,,
BY-MI,negative,2031,1361444,,
BY-MI,negative,2036,1268210,,
BY-MI,negative,2041,1185131,,
BY-MI,negative,2046,1106564,,
BY-MI,negative,2051,1031801,,
BY-MI,negative,2056,964053,,
BY-MI,negative,2061,898439,,
BY-MI,negative,2066,835301,,
BY-MI,negative,2071,776762,,
BY-MI,negative,2075,736292,,
BY-MI,optimistic,2026,1454737,,
BY-MI,optimistic,2031,1401416,,
BY-MI,optimistic,2036,1353891,,
BY-MI,optimistic,2041,1319199,,
BY-MI,optimistic,2046,1292102,,
BY-MI,optimistic,2051,1270686,,
BY-MI,optimistic,2056,1252667,,
BY-MI,optimistic,2061,1237451,,
BY-MI,optimistic,2066,1227044,,
BY-MI,optimistic,2071,1223479,,
BY-MI,optimistic,2075,1228420,,
BY-VI,base,2026,1060687,1055493,1066043
BY-VI,base,2031,998618,981241,1014974
BY-VI,base,2036,935916,907601,963952
BY-VI,base,2041,874450,835985,913545
BY-VI,base,2046,815209,766640,862471
BY-VI,base,2051,756537,702244,812897
BY-VI,base,2056,697362,635156,758916
BY-VI,base,2061,638588,572270,704992
BY-VI,base,2066,581327,510970,654763
BY-VI,base,2071,526674,453963,606467
BY-VI,base,2075,487513,411509,570458
BY-VI,negative,2026,1060687,,
BY-VI,negative,2031,979987,,
BY-VI,negative,2036,897034,,
BY-VI,negative,2041,817865,,
BY-VI,negative,2046,741134,,
BY-VI,negative,2051,665654,,
BY-VI,negative,2056,593229,,
BY-VI,negative,2061,522489,,
BY-VI,negative,2066,454200,,
BY-VI,negative,2071,390048,,
BY-VI,negative,2075,344518,,
BY-VI,optimistic,2026,1060687,,
BY-VI,optimistic,2031,1002406,,
BY-VI,optimistic,2036,946250,,
BY-VI,optimistic,2041,895861,,
BY-VI,optimistic,2046,849480,,
BY-VI,optimistic,2051,804380,,
BY-VI,optimistic,2056,758137,,
BY-VI,optimistic,2061,711151,,
BY-VI,optimistic,2066,665248,,
BY-VI,optimistic,2071,622215,,
BY-VI,optimistic,2075,592432,,
