territory_id,scenario,jumpoff,year,pop,q10,q90
BY-HO,optimistic,official,2071,910352,,
BY-HO,optimistic,official,2075,886732,,
BY-HR,base,official,2026,976218,971438,981147
BY-HR,base,official,2031,930569,914376,945811
BY-HR,base,official,2036,887795,860936,914390
BY-HR,base,official,2041,847447,810170,885336
BY-HR,base,official,2046,807878,759746,854715
BY-HR,base,official,2051,767423,712349,824594
BY-HR,base,official,2056,726338,661547,790449
BY-HR,base,official,2061,686502,615208,757889
BY-HR,base,official,2066,648762,570243,730716
BY-HR,base,official,2071,613145,528497,706040
BY-HR,base,official,2075,587560,495959,687527
BY-HR,negative,official,2026,976218,,
BY-HR,negative,official,2031,911257,,
BY-HR,negative,official,2036,847176,,
BY-HR,negative,official,2041,787750,,
BY-HR,negative,official,2046,729335,,
BY-HR,negative,official,2051,670730,,
BY-HR,negative,official,2056,614399,,
BY-HR,negative,official,2061,559499,,
BY-HR,negative,official,2066,506633,,
BY-HR,negative,official,2071,456699,,
BY-HR,negative,official,2075,420571,,
BY-HR,optimistic,official,2026,976218,,
BY-HR,optimistic,official,2031,934265,,
BY-HR,optimistic,official,2036,898267,,
BY-HR,optimistic,official,2041,869763,,
BY-HR,optimistic,official,2046,844270,,
BY-HR,optimistic,official,2051,818876,,
BY-HR,optimistic,official,2056,792724,,
BY-HR,optimistic,official,2061,767712,,
BY-HR,optimistic,official,2066,745662,,
BY-HR,optimistic,official,2071,727089,,
BY-HR,optimistic,official,2075,715822,,
BY-MA,base,official,2026,962053,957342,966911
BY-MA,base,official,2031,910875,895025,925794
BY-MA,base,official,2036,859091,833100,884827
BY-MA,base,official,2041,809200,773605,845379
BY-MA,base,official,2046,761607,716232,805761
BY-MA,base,official,2051,715019,663706,768286
BY-MA,base,official,2056,668202,608597,727181
BY-MA,base,official,2061,621397,556864,686014
BY-MA,base,official,2066,576407,506645,649221
BY-MA,base,official,2071,534350,460580,615306
BY-MA,base,official,2075,504638,425964,590496
BY-MA,negative,official,2026,962053,,
BY-MA,negative,official,2031,889910,,
BY-MA,negative,official,2036,815745,,
BY-MA,negative,official,2041,746916,,
BY-MA,negative,official,2046,680784,,
BY-MA,negative,official,2051,616230,,
BY-MA,negative,official,2056,555079,,
BY-MA,negative,official,2061,494748,,
BY-MA,negative,official,2066,436663,,
BY-MA,negative,official,2071,382632,,
BY-MA,negative,official,2075,344252,,
BY-MA,optimistic,official,2026,962053,,
BY-MA,optimistic,official,2031,915161,,
BY-MA,optimistic,official,2036,870234,,
BY-MA,optimistic,official,2041,832305,,
BY-MA,optimistic,official,2046,798626,,
BY-MA,optimistic,official,2051,766807,,
BY-MA,optimistic,official,2056,734656,,
BY-MA,optimistic,official,2061,702015,,
BY-MA,optimistic,official,2066,671426,,
BY-MA,optimistic,official,2071,644744,,
BY-MA,optimistic,official,2075,627860,,
BY-MI,base,official,2026,1454737,1447614,1462083
BY-MI,base,official,2031,1395619,1371334,1418478
BY-MI,base,official,2036,1338370,1297879,1378463
BY-MI,base,official,2041,1285461,1228917,1342933
BY-MI,base,official,2046,1236595,1162920,1308286
BY-MI,base,official,2051,1191264,1105773,1280009
BY-MI,base,official,2056,1148273,1045845,1249627
BY-MI,base,official,2061,1107572,992550,1222745
BY-MI,base,official,2066,1069850,940367,1204999
BY-MI,base,official,2071,1035896,892883,1192838
BY-MI,base,official,2075,1014327,856192,1186903
BY-MI,negative,official,2026,1454737,,
BY-MI,negative,official,2031,1361444,,
BY-MI,negative,official,2036,1268210,,
BY-MI,negative,official,2041,1185131,,
BY-MI,negative,official,2046,1106564,,
