territory_id,oblast,year,age_group,sex,locality,pop
c-baranavichy,BY-BR,2019,70-74,f,urban,5067
c-baranavichy,BY-BR,2019,70-74,m,urban,2392
c-baranavichy,BY-BR,2019,75-79,f,urban,2706
c-baranavichy,BY-BR,2019,75-79,m,urban,1285
c-baranavichy,BY-BR,2019,80 и старше,f,urban,3689
c-baranavichy,BY-BR,2019,80 и старше,m,urban,1138
c-brest,BY-BR,2019,0-4,f,urban,11284
c-brest,BY-BR,2019,0-4,m,urban,11976
c-brest,BY-BR,2019,5-9,f,urban,11261
c-brest,BY-BR,2019,5-9,m,urban,11876
c-brest,BY-BR,2019,10-14,f,urban,9435
c-brest,BY-BR,2019,10-14,m,urban,9840
c-brest,BY-BR,2019,15-19,f,urban,8566
c-brest,BY-BR,2019,15-19,m,urban,9068
c-brest,BY-BR,2019,20-24,f,urban,7214
c-brest,BY-BR,2019,20-24,m,urban,7205
c-brest,BY-BR,2019,25-29,f,urban,14030
c-brest,BY-BR,2019,25-29,m,urban,11567
c-brest,BY-BR,2019,30-34,f,urban,17100
c-brest,BY-BR,2019,30-34,m,urban,15715
c-brest,BY-BR,2019,35-39,f,urban,16673
c-brest,BY-BR,2019,35-39,m,urban,14300
c-brest,BY-BR,2019,40-44,f,urban,13294
c-brest,BY-BR,2019,40-44,m,urban,12136
c-brest,BY-BR,2019,45-49,f,urban,13136
c-brest,BY-BR,2019,45-49,m,urban,9608
c-brest,BY-BR,2019,50-54,f,urban,11280
c-brest,BY-BR,2019,50-54,m,urban,8779
c-brest,BY-BR,2019,55-59,f,urban,10784
c-brest,BY-BR,2019,55-59,m,urban,7882
c-brest,BY-BR,2019,60-64,f,urban,13381
c-brest,BY-BR,2019,60-64,m,urban,9058
c-brest,BY-BR,2019,65-69,f,urban,11047
c-brest,BY-BR,2019,65-69,m,urban,6342
c-brest,BY-BR,2019,70-74,f,urban,7351
c-brest,BY-BR,2019,70-74,m,urban,4075
c-brest,BY-BR,2019,75-79,f,urban,3829
c-brest,BY-BR,2019,75-79,m,urban,1864
c-brest,BY-BR,2019,80 и старше,f,urban,6128
c-brest,BY-BR,2019,Возраст не определен,f,urban,0
c-brest,BY-BR,2019,80 и старше,m,urban,1895
c-brest,BY-BR,2019,Возраст не определен,m,urban,0
c-pinsk,BY-BR,2019,0-4,f,urban,3824
c-pinsk,BY-BR,2019,0-4,m,urban,4130
c-pinsk,BY-BR,2019,5-9,f,urban,4078
c-pinsk,BY-BR,2019,5-9,m,urban,4242
c-pinsk,BY-BR,2019,10-14,f,urban,3593
c-pinsk,BY-BR,2019,10-14,m,urban,3922
c-pinsk,BY-BR,2019,15-19,f,urban,4220
c-pinsk,BY-BR,2019,15-19,m,urban,3940
c-pinsk,BY-BR,2019,20-24,f,urban,3640
c-pinsk,BY-BR,2019,20-24,m,urban,3631
c-pinsk,BY-BR,2019,25-29,f,urban,4477
c-pinsk,BY-BR,2019,25-29,m,urban,4152
c-pinsk,BY-BR,2019,30-34,f,urban,4962
c-pinsk,BY-BR,2019,30-34,m,urban,4812
c-pinsk,BY-BR,2019,35-39,f,urban,5058
c-pinsk,BY-BR,2019,35-39,m,urban,4424
c-pinsk,BY-BR,2019,40-44,f,urban,4954
c-pinsk,BY-BR,2019,40-44,m,urban,4180
c-pinsk,BY-BR,2019,45-49,f,urban,4985
c-pinsk,BY-BR,2019,45-49,m,urban,4045
c-pinsk,BY-BR,2019,50-54,f,urban,4596
c-pinsk,BY-BR,2019,50-54,m,urban,3829
c-pinsk,BY-BR,2019,55-59,f,urban,5427
c-pinsk,BY-BR,2019,55-59,m,urban,4282
