country,year,age,birth_order,asfr_period
Belarus,1968,40,1,0.003
Belarus,1968,40,2,0.00479
Belarus,1968,40,3,0.00545
Belarus,1968,40,4,0.00438
Belarus,1968,40,5p,0.00888
Belarus,1968,40,total,0.0265
Belarus,1968,50,1,0.0
Belarus,1968,50,2,5e-05
Belarus,1968,50,3,4e-05
Belarus,1968,50,4,0.00011
Belarus,1968,50,5p,1e-04
Belarus,1968,50,total,0.0003
Belarus,1968,55+,1,0.0
Belarus,1968,55+,2,2e-05
Belarus,1968,55+,3,2e-05
Belarus,1968,55+,4,2e-05
Belarus,1968,55+,5p,4e-05
Belarus,1968,55+,total,9e-05
Belarus,1969,12-,1,0.0
Belarus,1969,12-,2,0.0
Belarus,1969,12-,3,0.0
Belarus,1969,12-,4,0.0
Belarus,1969,12-,5p,0.0
Belarus,1969,12-,total,0.0
Belarus,1969,20,1,0.11094
Belarus,1969,20,2,0.0142
Belarus,1969,20,3,0.00075
Belarus,1969,20,4,0.0
Belarus,1969,20,5p,0.0
Belarus,1969,20,total,0.1259
Belarus,1969,30,1,0.01971
Belarus,1969,30,2,0.05098
Belarus,1969,30,3,0.02664
Belarus,1969,30,4,0.01071
Belarus,1969,30,5p,0.00541
Belarus,1969,30,total,0.11344
Belarus,1969,40,1,0.0026
Belarus,1969,40,2,0.00406
Belarus,1969,40,3,0.00479
Belarus,1969,40,4,0.00364
Belarus,1969,40,5p,0.00766
Belarus,1969,40,total,0.02275
Belarus,1969,50,1,3e-05
Belarus,1969,50,2,1e-05
Belarus,1969,50,3,1e-05
Belarus,1969,50,4,5e-05
Belarus,1969,50,5p,5e-05
Belarus,1969,50,total,0.00015
Belarus,1969,55+,1,0.0
Belarus,1969,55+,2,0.0
Belarus,1969,55+,3,2e-05
Belarus,1969,55+,4,0.0
Belarus,1969,55+,5p,4e-05
Belarus,1969,55+,total,6e-05
Belarus,1970,12-,1,0.0
Belarus,1970,12-,2,0.0
Belarus,1970,12-,3,0.0
Belarus,1970,12-,4,0.0
Belarus,1970,12-,5p,0.0
Belarus,1970,12-,total,0.0
Belarus,1970,20,1,0.11664
Belarus,1970,20,2,0.01351
Belarus,1970,20,3,0.00086
Belarus,1970,20,4,0.0
Belarus,1970,20,5p,0.0
Belarus,1970,20,total,0.13101
Belarus,1970,30,1,0.01746
Belarus,1970,30,2,0.04956
Belarus,1970,30,3,0.02579
Belarus,1970,30,4,0.0094
Belarus,1970,30,5p,0.00495
Belarus,1970,30,total,0.10716
Belarus,1970,40,1,0.00252
Belarus,1970,40,2,0.00416
Belarus,1970,40,3,0.00502
Belarus,1970,40,4,0.00424
Belarus,1970,40,5p,0.00702
Belarus,1970,40,total,0.02297
Belarus,1970,50,1,0.0
Belarus,1970,50,2,2e-05
Belarus,1970,50,3,0.0
Belarus,1970,50,4,1e-05
Belarus,1970,50,5p,3e-05
Belarus,1970,50,total,7e-05
Belarus,1970,55+,1,0.0
Belarus,1970,55+,2,0.0
Belarus,1970,55+,3,2e-05
Belarus,1970,55+,4,0.0
Belarus,1970,55+,5p,2e-05
Belarus,1970,55+,total,4e-05
Belarus,1971,12-,1,0.0
Belarus,1971,12-,2,0.0
Belarus,1971,12-,3,0.0
Belarus,1971,12-,4,0.0
Belarus,1971,12-,5p,0.0
Belarus,1971,12-,total,0.0
Belarus,1971,20,1,0.12605
Belarus,1971,20,2,0.01445
Belarus,1971,20,3,0.00103
Belarus,1971,20,4,0.0
Belarus,1971,20,5p,0.0
Belarus,1971,20,total,0.14152
Belarus,1971,30,1,0.01714
Belarus,1971,30,2,0.05176
Belarus,1971,30,3,0.02477
Belarus,1971,30,4,0.00911
Belarus,1971,30,5p,0.00474
Belarus,1971,30,total,0.10752
Belarus,1971,40,1,0.00268
Belarus,1971,40,2,0.00382
Belarus,1971,40,3,0.00467
Belarus,1971,40,4,0.0034
