country,year,sex,age,type,central_death_rate,probability_of_death,average_survival_length,number_survivors,number_deaths,number_person_years_lived,number_person_years_remaining,life_expectancy
Belarus,1962,male,94,period,274.87,24.165,0.5,2489,602,2188,7890,3.17
Belarus,1962,male,95,period,291.46002,25.438,0.5,1888,480,1648,5701,3.02
Belarus,1962,male,95-99,period,315.74,80.781,1.98,1888,1525,4829,5701,3.02
Belarus,1962,male,96,period,308.62,26.736,0.5,1407,376,1219,4054,2.88
Belarus,1962,male,97,period,326.33002,28.055,0.5,1031,289,887,2834,2.75
Belarus,1962,male,98,period,344.55002,29.392,0.5,742,218,633,1948,2.63
Belarus,1962,male,99,period,363.24,30.741001,0.5,524,161,443,1315,2.51
Belarus,1962,total,0,period,31.380001,3.0570002,0.15,100000,3057,97394,7132475,71.32
Belarus,1962,total,1,period,3.5,0.35000002,0.5,96943,339,96774,7035081,72.57
Belarus,1962,total,1-4,period,1.63,0.647,1.33,96943,628,386100,7035081,72.57
Belarus,1962,total,10,period,0.46,0.046,0.5,96017,45,95995,6168160,64.24
Belarus,1962,total,10-14,period,0.48,0.23900001,2.5,96017,230,479510,6168160,64.24
Belarus,1962,total,100,period,343.98,29.35,0.5,769,226,656,2023,2.63
Belarus,1962,total,100-104,period,368.34,85.551,1.87,769,658,1786,2023,2.63
Belarus,1962,total,101,period,362.62,30.697,0.5,543,167,460,1367,2.52
Belarus,1962,total,102,period,381.7,32.053,0.5,377,121,316,907,2.41
Belarus,1962,total,103,period,401.16,33.414,0.5,256,85,213,590,2.31
Belarus,1962,total,104,period,420.94,34.775,0.5,170,59,141,377,2.21
Belarus,1962,total,105,period,440.99,36.132,0.5,111,40,91,237,2.13
Belarus,1962,total,105-109,period,463.82,91.435,1.69,111,102,219,237,2.13
Belarus,1962,total,106,period,461.25,37.481003,0.5,71,27,58,146,2.05
Belarus,1962,total,107,period,481.65,38.817,0.5,44,17,36,88,1.98
Belarus,1962,total,108,period,502.12997,40.136,0.5,27,11,22,52,1.92
Belarus,1962,total,109,period,522.6,41.434,0.5,16,7,13,30,1.87
Belarus,1962,total,11,period,0.53000003,0.053000003,0.5,95972,50,95947,6072165,63.27
Belarus,1962,total,110+,period,543.02,100.0,1.84,10,10,18,18,1.84
Belarus,1962,total,12,period,0.45,0.044999998,0.5,95922,43,95900,5976218,62.3
Belarus,1962,total,13,period,0.46,0.046,0.5,95879,44,95857,5880318,61.33
Belarus,1962,total,14,period,0.5,0.05,0.5,95835,48,95811,5784460,60.36
Belarus,1962,total,15,period,0.66,0.066,0.5,95787,63,95755,5688649,59.39
Belarus,1962,total,15-19,period,0.82,0.411,2.6,95787,394,477990,5688649,59.39
Belarus,1962,total,16,period,0.83,0.083,0.5,95724,80,95684,5592894,58.43
Belarus,1962,total,17,period,0.89000005,0.088,0.5,95644,85,95602,5497210,57.48
Belarus,1962,total,18,period,0.91,0.091,0.5,95560,87,95516,5401608,56.53
Belarus,1962,total,19,period,0.83,0.083,0.5,95472,79,95433,5306092,55.58
Belarus,1962,total,2,period,1.33,0.133,0.5,96604,129,96540,6938307,71.82
Belarus,1962,total,20,period,1.15,0.115,0.5,95393,110,95338,5210659,54.62
Belarus,1962,total,20-24,period,1.23,0.615,2.51,95393,587,475503,5210659,54.62
Belarus,1962,total,21,period,1.1,0.11,0.5,95283,105,95231,5115321,53.69
Belarus,1962,total,22,period,1.5999999,0.16,0.5,95179,152,95103,5020090,52.74
Belarus,1962,total,23,period,1.1800001,0.118,0.5,95026,112,94971,4924988,51.83
Belarus,1962,total,24,period,1.15,0.115,0.5,94915,109,94860,4830017,50.89
Belarus,1962,total,25,period,1.4,0.14,0.5,94806,133,94739,4735157,49.95
Belarus,1962,total,25-29,period,1.38,0.69,2.47,94806,654,472373,4735157,49.95
Belarus,1962,total,26,period,1.36,0.135,0.5,94673,128,94609,4640417,49.02
Belarus,1962,total,27,period,1.51,0.151,0.5,94545,142,94474,4545808,48.08
Belarus,1962,total,28,period,1.36,0.13599999,0.5,94402,128,94338,4451335,47.15
Belarus,1962,total,29,period,1.2900001,0.12900001,0.5,94274,122,94213,4356997,46.22
Belarus,1962,total,3,period,0.89000005,0.089,0.5,96476,86,96433,6841767,70.92
Belarus,1962,total,30,period,2.15,0.214,0.5,94152,202,94051,4262784,45.28
Belarus,1962,total,30-34,period,1.86,0.926,2.47,94152,872,468555,4262784,45.28
Belarus,1962,total,31,period,1.5600001,0.156,0.5,93950,146,93877,4168733,44.37
Belarus,1962,total,32,period,1.89,0.189,0.5,93804,177,93715,4074855,43.44
Belarus,1962,total,33,period,1.8,0.17999999,0.5,93627,169,93542,3981140,42.52
Belarus,1962,total,34,period,1.9,0.19,0.5,93458,178,93369,3887598,41.6
Belarus,1962,total,35,period,2.15,0.215,0.5,93280,200,93180,3794228,40.68
Belarus,1962,total,35-39,period,2.42,1.204,2.55,93280,1123,463646,3794228,40.68
Belarus,1962,total,36,period,2.46,0.246,0.5,93080,229,92966,3701048,39.76
Belarus,1962,total,37,period,2.52,0.252,0.5,92851,234,92734,3608082,38.86
Belarus,1962,total,38,period,2.59,0.25800002,0.5,92617,239,92498,3515348,37.96
Belarus,1962,total,39,period,2.4,0.24000001,0.5,92378,221,92268,3422850,37.05
Belarus,1962,total,4,period,0.77,0.077,0.5,96390,74,96353,6745334,69.98
Belarus,1962,total,40,period,3.72,0.37100002,0.5,92157,342,91986,3330582,36.14
Belarus,1962,total,40-44,period,3.3700001,1.671,2.54,92157,1540,457003,3330582,36.14
Belarus,1962,total,41,period,2.5800002,0.257,0.5,91815,236,91697,3238596,35.27
Belarus,1962,total,42,period,3.64,0.363,0.5,91578,333,91412,3146900,34.36
Belarus,1962,total,43,period,2.94,0.294,0.5,91246,268,91112,3055488,33.49
Belarus,1962,total,44,period,3.98,0.39699998,0.5,90978,361,90797,2964376,32.58
Belarus,1962,total,45,period,3.99,0.398,0.5,90617,361,90436,2873579,31.71
Belarus,1962,total,45-49,period,4.2400002,2.097,2.57,90617,1900,448471,2873579,31.71
Belarus,1962,total,46,period,3.84,0.38300002,0.5,90256,346,90083,2783143,30.84
Belarus,1962,total,47,period,4.28,0.427,0.5,89910,384,89718,2693060,29.95
Belarus,1962,total,48,period,4.62,0.46100003,0.5,89526,413,89320,2603342,29.08
Belarus,1962,total,49,period,4.46,0.445,0.5,89113,397,88915,2514023,28.21
Belarus,1962,total,5,period,0.66999996,0.067,0.5,96316,64,96284,6648981,69.03
Belarus,1962,total,5-9,period,0.62,0.31,2.47,96316,299,480822,6648981,69.03
Belarus,1962,total,50,period,6.86,0.68299997,0.5,88716,606,88413,2425108,27.34
Belarus,1962,total,50-54,period,6.67,3.283,2.57,88716,2913,436497,2425108,27.34
Belarus,1962,total,51,period,5.43,0.541,0.5,88110,477,87872,2336694,26.52
Belarus,1962,total,52,period,7.14,0.711,0.5,87633,623,87321,2248823,25.66
Belarus,1962,total,53,period,6.06,0.604,0.5,87010,526,86747,2161501,24.84
Belarus,1962,total,54,period,7.8999996,0.787,0.5,86484,680,86144,2074754,23.99
Belarus,1962,total,55,period,9.86,0.98200005,0.5,85803,842,85382,1988611,23.18
Belarus,1962,total,55-59,period,10.07,4.91,2.46,85803,4213,418319,1988611,23.18
Belarus,1962,total,56,period,10.48,1.043,0.5,84961,886,84518,1903229,22.4
Belarus,1962,total,57,period,10.21,1.016,0.5,84075,854,83648,1818710,21.63
Belarus,1962,total,58,period,10.339999,1.0289999,0.5,83221,856,82793,1735062,20.85
Belarus,1962,total,59,period,9.45,0.94,0.5,82365,774,81978,1652269,20.06
Belarus,1962,total,6,period,0.6,0.060000002,0.5,96251,58,96222,6552698,68.08
Belarus,1962,total,60,period,17.81,1.7650001,0.5,81591,1440,80871,1570292,19.25
Belarus,1962,total,60-64,period,16.869999,8.096,2.52,81591,6606,391548,1570292,19.25
Belarus,1962,total,61,period,11.64,1.1570001,0.5,80150,927,79687,1489421,18.58
Belarus,1962,total,62,period,21.87,2.163,0.5,79223,1714,78366,1409734,17.79
Belarus,1962,total,63,period,14.71,1.46,0.5,77510,1132,76944,1331368,17.18
Belarus,1962,total,64,period,18.4,1.8239999,0.5,76378,1393,75681,1254424,16.42
Belarus,1962,total,65,period,25.68,2.535,0.5,74985,1901,74034,1178743,15.72
Belarus,1962,total,65-69,period,23.1,10.893,2.38,74985,8168,353523,1178743,15.72
Belarus,1962,total,66,period,19.56,1.937,0.5,73084,1416,72376,1104709,15.12
Belarus,1962,total,67,period,26.89,2.6529999,0.5,71668,1902,70717,1032333,14.4
Belarus,1962,total,68,period,24.13,2.384,0.5,69767,1663,68935,961615,13.78
Belarus,1962,total,69,period,19.07,1.889,0.5,68103,1286,67460,892681,13.11
Belarus,1962,total,7,period,0.59000003,0.059,0.5,96193,57,96165,6456475,67.12
Belarus,1962,total,70,period,41.65,4.08,0.5,66817,2726,65454,825221,12.35
Belarus,1962,total,70-74,period,38.3,17.479,2.5,66817,11679,304906,825221,12.35
Belarus,1962,total,71,period,24.289999,2.4,0.5,64091,1538,63322,759767,11.85
Belarus,1962,total,72,period,48.129997,4.7,0.5,62553,2940,61083,696445,11.13
Belarus,1962,total,73,period,33.08,3.2540002,0.5,59613,1940,58643,635363,10.66
Belarus,1962,total,74,period,44.94,4.395,0.5,57673,2535,56405,576720,10.0
Belarus,1962,total,75,period,65.84,6.374,0.5,55138,3515,53380,520315,9.44
Belarus,1962,total,75-79,period,62.41,26.704002,2.3,55138,14724,235919,520315,9.44
Belarus,1962,total,76,period,62.28,6.04,0.5,51623,3118,50064,466934,9.05
Belarus,1962,total,77,period,60.11,5.836,0.5,48505,2831,47090,416870,8.59
Belarus,1962,total,78,period,75.77,7.3009996,0.5,45675,3335,44007,369780,8.1
Belarus,1962,total,79,period,46.55,4.5490003,0.5,42340,1926,41377,325773,7.69
Belarus,1962,total,8,period,0.64,0.063999996,0.5,96136,62,96105,6360311,66.16
Belarus,1962,total,80,period,122.32,11.527,0.5,40414,4659,38085,284396,7.04
Belarus,1962,total,80-84,period,103.83,40.77,2.37,40414,16477,158687,284396,7.04
Belarus,1962,total,81,period,56.72,5.5160003,0.5,35755,1972,34769,246311,6.89
Belarus,1962,total,82,period,123.76,11.655,0.5,33783,3938,31814,211542,6.26
Belarus,1962,total,83,period,95.44,9.109,0.5,29846,2719,28486,179727,6.02
Belarus,1962,total,84,period,124.93,11.757999,0.5,27127,3190,25532,151241,5.58
Belarus,1962,total,85,period,152.85,14.200001,0.5,23937,3399,22238,125709,5.25
Belarus,1962,total,85-89,period,156.62999,54.3,2.18,23937,12998,82987,125709,5.25
Belarus,1962,total,86,period,155.23,14.405001,0.5,20538,2959,19059,103471,5.04
Belarus,1962,total,87,period,165.4,15.276999,0.5,17580,2686,16237,84412,4.8
Belarus,1962,total,88,period,171.88,15.828,0.5,14894,2357,13715,68175,4.58
Belarus,1962,total,89,period,136.06999,12.74,0.5,12537,1597,11738,54460,4.34
Belarus,1962,total,9,period,0.6,0.060000002,0.5,96074,58,96046,6264205,65.2
Belarus,1962,total,90,period,292.14,25.491,0.5,10939,2789,9545,42722,3.91
Belarus,1962,total,90-94,period,240.54,69.456,1.96,10939,7598,31588,42722,3.91
Belarus,1962,total,91,period,201.29,18.289,0.5,8151,1491,7406,33177,4.07
Belarus,1962,total,92,period,214.68001,19.387,0.5,6660,1291,6015,25771,3.87
Belarus,1962,total,93,period,228.7,20.522999,0.5,5369,1102,4818,19756,3.68
Belarus,1962,total,94,period,243.36,21.696,0.5,4267,926,3804,14938,3.5
Belarus,1962,total,95,period,258.65,22.903,0.5,3341,765,2959,11134,3.33
Belarus,1962,total,95-99,period,282.32,76.984,2.05,3341,2572,9111,11134,3.33
Belarus,1962,total,96,period,274.56,24.142,0.5,2576,622,2265,8175,3.17
Belarus,1962,total,97,period,291.08,25.41,0.5,1954,497,1706,5910,3.02
Belarus,1962,total,98,period,308.16998,26.703,0.5,1458,389,1263,4204,2.88
Belarus,1962,total,99,period,325.82,28.018002,0.5,1068,299,919,2941,2.75
Belarus,1963,female,0,period,28.18,2.7519999,0.16,100000,2752,97677,7487787,74.88
Belarus,1963,female,1,period,3.08,0.308,0.5,97248,299,97098,7390109,75.99
Belarus,1963,female,1-4,period,1.42,0.567,1.31,97248,551,387510,7390109,75.99
Belarus,1963,female,10,period,0.36,0.036000002,0.5,96484,34,96466,6519673,67.57
Belarus,1963,female,10-14,period,0.48,0.24000001,2.71,96484,231,481888,6519673,67.57
Belarus,1963,female,100,period,302.28,26.258999,0.5,1801,473,1565,5266,2.92
Belarus,1963,female,100-104,period,327.45,81.997,1.96,1801,1477,4511,5266,2.92
Belarus,1963,female,101,period,320.38,27.614,0.5,1328,367,1145,3701,2.79
Belarus,1963,female,102,period,339.03,28.988998,0.5,962,279,822,2556,2.66
Belarus,1963,female,103,period,358.19,30.379,0.5,683,207,579,1734,2.54
Belarus,1963,female,104,period,377.81998,31.779,0.5,475,151,400,1155,2.43
Belarus,1963,female,105,period,397.86,33.184998,0.5,324,108,271,755,2.33
Belarus,1963,female,105-109,period,422.36002,89.274,1.77,324,290,686,755,2.33
Belarus,1963,female,106,period,418.24002,34.591,0.5,217,75,179,484,2.24
Belarus,1963,female,107,period,438.91,35.993,0.5,142,51,116,305,2.15
Belarus,1963,female,108,period,459.80002,37.385,0.5,91,34,74,189,2.08
Belarus,1963,female,109,period,480.82,38.763,0.5,57,22,46,115,2.03
Belarus,1963,female,11,period,0.36,0.036000002,0.5,96449,35,96432,6423207,66.6
Belarus,1963,female,110+,period,501.91998,100.0,1.99,35,35,69,69,1.99
Belarus,1963,female,12,period,0.59000003,0.059,0.5,96415,57,96386,6326775,65.62
Belarus,1963,female,13,period,0.62,0.062,0.5,96358,59,96328,6230389,64.66
Belarus,1963,female,14,period,0.48,0.048,0.5,96298,46,96275,6134061,63.7
Belarus,1963,female,15,period,0.61,0.060999997,0.5,96252,59,96223,6037785,62.73
Belarus,1963,female,15-19,period,0.63,0.31399998,2.61,96252,302,480540,6037785,62.73
Belarus,1963,female,16,period,0.56,0.056,0.5,96194,54,96167,5941563,61.77
Belarus,1963,female,17,period,0.56,0.056,0.5,96139,54,96113,5845396,60.8
Belarus,1963,female,18,period,0.69,0.069,0.5,96086,66,96053,5749283,59.83
Belarus,1963,female,19,period,0.73,0.072000004,0.5,96020,70,95985,5653230,58.88
Belarus,1963,female,2,period,1.0799999,0.107999995,0.5,96949,105,96896,7293011,75.23
Belarus,1963,female,20,period,0.7,0.07,0.5,95950,67,95916,5557246,57.92
Belarus,1963,female,20-24,period,0.76000005,0.379,2.57,95950,363,478867,5557246,57.92
Belarus,1963,female,21,period,0.68,0.067999996,0.5,95883,65,95851,5461329,56.96
Belarus,1963,female,22,period,0.84,0.084,0.5,95818,80,95778,5365479,56.0
Belarus,1963,female,23,period,0.82,0.082,0.5,95738,78,95699,5269701,55.04
Belarus,1963,female,24,period,0.76000005,0.076000005,0.5,95660,73,95623,5174002,54.09
Belarus,1963,female,25,period,0.95,0.095,0.5,95587,91,95541,5078379,53.13
Belarus,1963,female,25-29,period,0.91,0.452,2.44,95587,432,476827,5078379,53.13
Belarus,1963,female,26,period,0.95,0.095,0.5,95496,91,95451,4982837,52.18
Belarus,1963,female,27,period,0.92,0.092,0.5,95405,88,95361,4887387,51.23
Belarus,1963,female,28,period,0.82,0.082,0.5,95317,79,95278,4792026,50.27
Belarus,1963,female,29,period,0.88,0.088,0.5,95238,84,95197,4696748,49.32
Belarus,1963,female,3,period,1.02,0.102,0.5,96844,99,96794,7196115,74.31
Belarus,1963,female,30,period,1.0799999,0.107999995,0.5,95155,102,95103,4601551,48.36
Belarus,1963,female,30-34,period,1.24,0.61800003,2.63,95155,588,474379,4601551,48.36
Belarus,1963,female,31,period,1.0600001,0.106000006,0.5,95052,100,95002,4506448,47.41
Belarus,1963,female,32,period,1.44,0.14400001,0.5,94952,137,94883,4411446,46.46
Belarus,1963,female,33,period,1.22,0.121999994,0.5,94815,116,94757,4316562,45.53
Belarus,1963,female,34,period,1.4100001,0.14,0.5,94699,133,94633,4221805,44.58
Belarus,1963,female,35,period,1.53,0.153,0.5,94566,145,94494,4127172,43.64
Belarus,1963,female,35-39,period,1.48,0.73899996,2.51,94566,698,471090,4127172,43.64
Belarus,1963,female,36,period,1.31,0.131,0.5,94422,124,94360,4032678,42.71
Belarus,1963,female,37,period,1.53,0.153,0.5,94298,145,94226,3938318,41.76
Belarus,1963,female,38,period,1.63,0.163,0.5,94153,154,94077,3844093,40.83
Belarus,1963,female,39,period,1.4,0.14,0.5,94000,132,93934,3750016,39.89
Belarus,1963,female,4,period,0.5,0.05,0.5,96745,48,96721,7099320,73.38
Belarus,1963,female,40,period,2.17,0.217,0.5,93868,203,93766,3656082,38.95
Belarus,1963,female,40-44,period,2.24,1.113,2.54,93868,1045,466767,3656082,38.95
Belarus,1963,female,41,period,2.0300002,0.20300001,0.5,93665,190,93569,3562316,38.03
Belarus,1963,female,42,period,2.3799999,0.23799999,0.5,93474,222,93363,3468747,37.11
Belarus,1963,female,43,period,2.37,0.23699999,0.5,93252,221,93142,3375384,36.2
Belarus,1963,female,44,period,2.24,0.224,0.5,93031,208,92927,3282242,35.28
Belarus,1963,female,45,period,3.52,0.352,0.5,92823,326,92659,3189315,34.36
Belarus,1963,female,45-49,period,3.08,1.5270001,2.56,92823,1417,460659,3189315,34.36
Belarus,1963,female,46,period,2.1,0.209,0.5,92496,194,92399,3096656,33.48
Belarus,1963,female,47,period,2.98,0.298,0.5,92303,275,92165,3004256,32.55
Belarus,1963,female,48,period,3.3700001,0.336,0.5,92028,310,91873,2912091,31.64
Belarus,1963,female,49,period,3.4099998,0.341,0.5,91718,313,91562,2820218,30.75
Belarus,1963,female,5,period,0.49,0.049000002,0.5,96697,48,96673,7002600,72.42
Belarus,1963,female,5-9,period,0.44,0.221,2.38,96697,213,482926,7002600,72.42
Belarus,1963,female,50,period,4.46,0.445,0.5,91406,407,91202,2728656,29.85
Belarus,1963,female,50-54,period,4.75,2.35,2.55,91406,2148,451775,2728656,29.85
Belarus,1963,female,51,period,4.1,0.40899998,0.5,90999,372,90813,2637454,28.98
Belarus,1963,female,52,period,5.1699996,0.51600003,0.5,90627,467,90393,2546641,28.1
Belarus,1963,female,53,period,5.58,0.556,0.5,90160,502,89909,2456248,27.24
Belarus,1963,female,54,period,4.4700003,0.446,0.5,89658,400,89458,2366339,26.39
Belarus,1963,female,55,period,6.26,0.624,0.5,89258,557,88979,2276881,25.51
Belarus,1963,female,55-59,period,7.09,3.4850001,2.57,89258,3110,438744,2276881,25.51
Belarus,1963,female,56,period,6.38,0.636,0.5,88701,564,88419,2187902,24.67
Belarus,1963,female,57,period,7.4700003,0.74399996,0.5,88136,656,87809,2099483,23.82
Belarus,1963,female,58,period,8.71,0.86700004,0.5,87481,758,87102,2011674,23.0
Belarus,1963,female,59,period,6.65,0.66300005,0.5,86723,575,86435,1924573,22.19
Belarus,1963,female,6,period,0.48,0.048,0.5,96649,46,96626,6905927,71.45
Belarus,1963,female,60,period,11.43,1.1370001,0.5,86148,979,85658,1838137,21.34
Belarus,1963,female,60-64,period,11.18,5.445,2.61,86148,4691,419504,1838137,21.34
Belarus,1963,female,61,period,7.1200004,0.71,0.5,85168,604,84866,1752479,20.58
Belarus,1963,female,62,period,11.03,1.097,0.5,84564,928,84100,1667613,19.72
Belarus,1963,female,63,period,15.7,1.5580001,0.5,83636,1303,82985,1583513,18.93
Belarus,1963,female,64,period,10.71,1.0649999,0.5,82333,877,81895,1500528,18.23
Belarus,1963,female,65,period,19.33,1.915,0.5,81457,1560,80677,1418633,17.42
Belarus,1963,female,65-69,period,17.82,8.517,2.41,81457,6938,389312,1418633,17.42
Belarus,1963,female,66,period,14.96,1.485,0.5,79897,1186,79304,1337956,16.75
Belarus,1963,female,67,period,19.92,1.9719999,0.5,78711,1552,77935,1258653,15.99
Belarus,1963,female,68,period,20.95,2.073,0.5,77158,1600,76359,1180718,15.3
Belarus,1963,female,69,period,13.860001,1.377,0.5,75559,1040,75039,1104359,14.62
Belarus,1963,female,7,period,0.42999998,0.042999998,0.5,96603,42,96582,6809300,70.49
Belarus,1963,female,70,period,34.21,3.363,0.5,74519,2506,73266,1029321,13.81
Belarus,1963,female,70-74,period,29.05,13.527,2.46,74519,10080,347014,1029321,13.81
Belarus,1963,female,71,period,17.82,1.767,0.5,72012,1272,71376,956055,13.28
Belarus,1963,female,72,period,28.99,2.858,0.5,70740,2022,69729,884679,12.51
Belarus,1963,female,73,period,39.379997,3.862,0.5,68719,2654,67391,814949,11.86
Belarus,1963,female,74,period,24.91,2.461,0.5,66064,1626,65252,747558,11.32
Belarus,1963,female,75,period,49.36,4.817,0.5,64439,3104,62887,682306,10.59
Belarus,1963,female,75-79,period,54.27,23.817999,2.43,64439,15348,282805,682306,10.59
Belarus,1963,female,76,period,54.64,5.3190002,0.5,61335,3262,59704,619420,10.1
Belarus,1963,female,77,period,47.91,4.679,0.5,58073,2717,56714,559716,9.64
Belarus,1963,female,78,period,76.5,7.368,0.5,55356,4079,53316,503002,9.09
Belarus,1963,female,79,period,43.559998,4.263,0.5,51277,2186,50184,449686,8.77
Belarus,1963,female,8,period,0.41,0.041,0.5,96562,39,96542,6712718,69.52
Belarus,1963,female,80,period,96.92,9.244,0.5,49091,4538,46822,399502,8.14
Belarus,1963,female,80-84,period,81.840004,33.702,2.38,49091,16545,202146,399502,8.14
Belarus,1963,female,81,period,50.77,4.9509997,0.5,44553,2206,43450,352680,7.92
Belarus,1963,female,82,period,81.31,7.8129997,0.5,42347,3309,40693,309230,7.3
Belarus,1963,female,83,period,98.08,9.349,0.5,39038,3650,37213,268537,6.88
Belarus,1963,female,84,period,83.67,8.031,0.5,35389,2842,33968,231324,6.54
Belarus,1963,female,85,period,137.79999,12.892,0.5,32546,4196,30449,197356,6.06
Belarus,1963,female,85-89,period,129.58,47.367,2.16,32546,15416,118974,197356,6.06
Belarus,1963,female,86,period,128.58,12.081,0.5,28351,3425,26638,166908,5.89
Belarus,1963,female,87,period,135.01001,12.647,0.5,24925,3152,23349,140270,5.63
Belarus,1963,female,88,period,131.5,12.339,0.5,21773,2687,20430,116920,5.37
Belarus,1963,female,89,period,108.05,10.250999,0.5,19087,1957,18108,96490,5.06
Belarus,1963,female,9,period,0.39999998,0.04,0.5,96522,39,96503,6616176,68.55
Belarus,1963,female,90,period,230.56,20.672998,0.5,17130,3541,15359,78382,4.58
Belarus,1963,female,90-94,period,197.52,62.603004,2.08,17130,10724,54294,78382,4.58
Belarus,1963,female,91,period,168.52,15.542001,0.5,13589,2112,12533,63023,4.64
Belarus,1963,female,92,period,180.68001,16.571001,0.5,11477,1902,10526,50490,4.4
Belarus,1963,female,93,period,193.51999,17.644001,0.5,9575,1689,8730,39964,4.17
Belarus,1963,female,94,period,207.03,18.761,0.5,7885,1479,7146,31234,3.96
Belarus,1963,female,95,period,221.23,19.92,0.5,6406,1276,5768,24088,3.76
Belarus,1963,female,95-99,period,244.64,71.879,2.13,6406,4605,18822,24088,3.76
Belarus,1963,female,96,period,236.12,21.118,0.5,5130,1083,4588,18320,3.57
Belarus,1963,female,97,period,251.68,22.355001,0.5,4047,905,3594,13732,3.39
Belarus,1963,female,98,period,267.91,23.626,0.5,3142,742,2771,10137,3.23
Belarus,1963,female,99,period,284.78,24.929,0.5,2400,598,2101,7367,3.07
Belarus,1963,male,0,period,35.989998,3.4919999,0.15,100000,3492,97017,6815638,68.16
Belarus,1963,male,1,period,3.48,0.347,0.5,96508,335,96341,6718621,69.62
Belarus,1963,male,1-4,period,1.65,0.657,1.31,96508,634,384327,6718621,69.62
Belarus,1963,male,10,period,0.84,0.084,0.5,95516,80,95476,5855820,61.31
Belarus,1963,male,10-14,period,0.72,0.358,2.49,95516,342,476723,5855820,61.31
Belarus,1963,male,100,period,352.52,29.969002,0.5,579,174,493,1491,2.57
Belarus,1963,male,100-104,period,377.11002,86.23801,1.85,579,500,1325,1491,2.57
Belarus,1963,male,101,period,371.6,31.336998,0.5,406,127,342,999,2.46
Belarus,1963,male,102,period,391.09,32.712997,0.5,279,91,233,656,2.36
Belarus,1963,male,103,period,410.94,34.09,0.5,187,64,156,423,2.26
Belarus,1963,male,104,period,431.08002,35.464,0.5,124,44,102,268,2.17
Belarus,1963,male,105,period,451.44998,36.831,0.5,80,29,65,166,2.08
Belarus,1963,male,105-109,period,474.2,91.918,1.67,80,73,155,166,2.08
Belarus,1963,male,106,period,471.99,38.187,0.5,50,19,41,101,2.01
Belarus,1963,male,107,period,492.62,39.526,0.5,31,12,25,60,1.94
Belarus,1963,male,108,period,513.27997,40.845,0.5,19,8,15,35,1.88
Belarus,1963,male,109,period,533.89,42.14,0.5,11,5,9,20,1.83
Belarus,1963,male,11,period,0.57,0.056999996,0.5,95436,55,95408,5760344,60.36
Belarus,1963,male,110+,period,554.38,100.0,1.8,6,6,12,12,1.8
Belarus,1963,male,12,period,0.76000005,0.076000005,0.5,95381,72,95345,5664935,59.39
Belarus,1963,male,13,period,0.59000003,0.059,0.5,95309,56,95281,5569591,58.44
Belarus,1963,male,14,period,0.82,0.082,0.5,95252,78,95213,5474310,57.47
Belarus,1963,male,15,period,1.0300001,0.10300001,0.5,95174,98,95125,5379097,56.52
Belarus,1963,male,15-19,period,1.22,0.61,2.67,95174,581,474517,5379097,56.52
Belarus,1963,male,16,period,1.2,0.120000005,0.5,95077,114,95019,5283971,55.58
Belarus,1963,male,17,period,1.15,0.115,0.5,94962,110,94908,5188952,54.64
Belarus,1963,male,18,period,1.17,0.11699999,0.5,94853,111,94797,5094044,53.7
Belarus,1963,male,19,period,1.5600001,0.156,0.5,94742,148,94668,4999247,52.77
Belarus,1963,male,2,period,1.48,0.148,0.5,96173,142,96102,6622281,68.86
Belarus,1963,male,20,period,1.42,0.142,0.5,94594,135,94526,4904579,51.85
Belarus,1963,male,20-24,period,1.7,0.84499997,2.67,94594,799,471104,4904579,51.85
Belarus,1963,male,21,period,1.43,0.14299999,0.5,94459,135,94392,4810053,50.92
Belarus,1963,male,22,period,1.92,0.192,0.5,94324,181,94234,4715661,49.99
Belarus,1963,male,23,period,1.7,0.17,0.5,94143,160,94063,4621427,49.09
Belarus,1963,male,24,period,2.01,0.20099999,0.5,93983,189,93889,4527364,48.17
Belarus,1963,male,25,period,2.0900002,0.209,0.5,93795,196,93697,4433475,47.27
Belarus,1963,male,25-29,period,2.24,1.112,2.5,93795,1043,466362,4433475,47.27
Belarus,1963,male,26,period,2.1599998,0.21599999,0.5,93599,202,93498,4339778,46.37
Belarus,1963,male,27,period,2.5500002,0.255,0.5,93397,238,93278,4246280,45.47
Belarus,1963,male,28,period,2.4,0.24000001,0.5,93158,223,93047,4153003,44.58
Belarus,1963,male,29,period,1.9799999,0.198,0.5,92935,184,92843,4059956,43.69
Belarus,1963,male,3,period,1.02,0.102,0.5,96031,98,95982,6526179,67.96
Belarus,1963,male,30,period,2.5800002,0.257,0.5,92752,239,92632,3967113,42.77
Belarus,1963,male,30-34,period,2.59,1.289,2.58,92752,1195,460867,3967113,42.77
Belarus,1963,male,31,period,2.24,0.223,0.5,92513,207,92410,3874481,41.88
Belarus,1963,male,32,period,2.54,0.254,0.5,92306,234,92189,3782071,40.97
Belarus,1963,male,33,period,2.7099998,0.271,0.5,92072,249,91947,3689882,40.08
Belarus,1963,male,34,period,2.8999999,0.29,0.5,91822,266,91689,3597935,39.18
Belarus,1963,male,35,period,3.51,0.35000002,0.5,91556,321,91396,3506246,38.3
Belarus,1963,male,35-39,period,3.7,1.8349999,2.53,91556,1680,453640,3506246,38.3
Belarus,1963,male,36,period,3.6100001,0.35999998,0.5,91235,329,91071,3414850,37.43
