country,year,sex,age,type,central_death_rate,probability_of_death,average_survival_length,number_survivors,number_deaths,number_person_years_lived,number_person_years_remaining,life_expectancy
Belarus,1959,total,73,period,46.989998,4.591,0.5,57190,2626,55877,602094,10.53
Belarus,1959,total,74,period,49.49,4.829,0.5,54564,2635,53247,546216,10.01
Belarus,1959,total,75,period,62.49,6.06,0.5,51929,3147,50356,492970,9.49
Belarus,1959,total,75-79,period,64.03,27.657,2.54,51929,14362,224293,492970,9.49
Belarus,1959,total,76,period,47.46,4.636,0.5,48782,2262,47651,442614,9.07
Belarus,1959,total,77,period,61.08,5.927,0.5,46521,2757,45142,394963,8.49
Belarus,1959,total,78,period,77.990005,7.506,0.5,43763,3285,42121,349821,7.99
Belarus,1959,total,79,period,74.600006,7.192,0.5,40478,2911,39023,307700,7.6
Belarus,1959,total,8,period,0.79,0.079,0.5,93965,74,93928,6149018,65.44
Belarus,1959,total,80,period,124.85,11.752,0.5,37567,4415,35360,268677,7.15
Belarus,1959,total,80-84,period,103.490005,40.36,2.27,37567,15162,146503,268677,7.15
Belarus,1959,total,81,period,75.26,7.2530003,0.5,33152,2405,31950,233317,7.04
Belarus,1959,total,82,period,106.22,10.086,0.5,30748,3101,29197,201367,6.55
Belarus,1959,total,83,period,101.72,9.68,0.5,27647,2676,26308,172170,6.23
Belarus,1959,total,84,period,108.3,10.273,0.5,24970,2565,23688,145861,5.84
Belarus,1959,total,85,period,151.94,14.121,0.5,22405,3164,20823,122173,5.45
Belarus,1959,total,85-89,period,155.02,54.395996,2.26,22405,12187,78617,122173,5.45
Belarus,1959,total,86,period,144.34,13.462999,0.5,19241,2590,17946,101350,5.27
Belarus,1959,total,87,period,157.76999,14.624,0.5,16651,2435,15433,83404,5.01
Belarus,1959,total,88,period,152.83,14.198001,0.5,14216,2018,13207,67971,4.78
Belarus,1959,total,89,period,176.66,16.232,0.5,12198,1980,11208,54764,4.49
Belarus,1959,total,9,period,0.73,0.07300001,0.5,93891,69,93857,6055090,64.49
Belarus,1959,total,90,period,255.45001,22.652,0.5,10218,2314,9060,43556,4.26
Belarus,1959,total,90-94,period,218.31,66.154,2.02,10218,6759,30962,43556,4.26
Belarus,1959,total,91,period,188.72,17.245,0.5,7903,1363,7222,34496,4.36
Belarus,1959,total,92,period,199.83,18.167,0.5,6540,1188,5946,27274,4.17
Belarus,1959,total,93,period,211.43,19.122,0.5,5352,1023,4840,21328,3.98
Belarus,1959,total,94,period,223.55,20.107,0.5,4329,870,3894,16487,3.81
Belarus,1959,total,95,period,236.17,21.123,0.5,3458,730,3093,12594,3.64
Belarus,1959,total,95-99,period,256.41,73.421005,2.09,3458,2539,9903,12594,3.64
Belarus,1959,total,96,period,249.3,22.167,0.5,2728,605,2425,9501,3.48
Belarus,1959,total,97,period,262.95,23.239,0.5,2123,493,1876,7075,3.33
Belarus,1959,total,98,period,277.09003,24.337,0.5,1630,397,1431,5199,3.19
Belarus,1959,total,99,period,291.71,25.457998,0.5,1233,314,1076,3767,3.06
Belarus,1960,female,0,period,31.319998,3.053,0.17,100000,3053,97461,7481432,74.81
