id,title,url,license,accessed,sha256,notes
li_caldmsp_2005,Li et al. calDMSP 2005 (глобальный),https://ndownloader.figshare.com/files/17626100,"CC BY 4.0 (Li et al., figshare 9828827 v10)",2026-07-14,954b51f8907f173e9691cd7c9ee4806420f42b0f32fa6946d128517db36f8277,"DMSP-OLS stable lights, интеркалиброван, DN 0-63, ~1 км; глобальный файл не вендорится"
clip_dmsp_2005,Вырезка Беларуси calDMSP 2005,data/raw/nightlights/rasters/dmsp_2005.tif,CC BY 4.0,2026-07-14,7116cca3adb35545fef0b90eba3b534b3167f5f076150e5e480cd516c3365322,"1170x606, маска adm1 all_touched, вне страны 0; max DN 61"
li_caldmsp_2006,Li et al. calDMSP 2006 (глобальный),https://ndownloader.figshare.com/files/17626103,"CC BY 4.0 (Li et al., figshare 9828827 v10)",2026-07-14,f2d61acbcfdcc82f2a6864333248d93cbf49ee24e0151f17c538bed02aa28e8d,"DMSP-OLS stable lights, интеркалиброван, DN 0-63, ~1 км; глобальный файл не вендорится"
clip_dmsp_2006,Вырезка Беларуси calDMSP 2006,data/raw/nightlights/rasters/dmsp_2006.tif,CC BY 4.0,2026-07-14,43fcf5a6e53aa8311547a270c42bebf1c9d174d355b1e09b0d92bea70895ecb9,"1170x606, маска adm1 all_touched, вне страны 0; max DN 61"
li_caldmsp_2007,Li et al. calDMSP 2007 (глобальный),https://ndownloader.figshare.com/files/17626109,"CC BY 4.0 (Li et al., figshare 9828827 v10)",2026-07-14,e6d7d3574d8a8f8ec3c925f3c45643eb929b4f2c1dcd83c18993c8cd22967ff4,"DMSP-OLS stable lights, интеркалиброван, DN 0-63, ~1 км; глобальный файл не вендорится"
clip_dmsp_2007,Вырезка Беларуси calDMSP 2007,data/raw/nightlights/rasters/dmsp_2007.tif,CC BY 4.0,2026-07-14,a2ae3ddeb12af14093be2ddf3411a89c9c4f6ccaaf0b5e9cc50e7428ca2b728d,"1170x606, маска adm1 all_touched, вне страны 0; max DN 61"
li_caldmsp_2008,Li et al. calDMSP 2008 (глобальный),https://ndownloader.figshare.com/files/17626016,"CC BY 4.0 (Li et al., figshare 9828827 v10)",2026-07-14,66b59f7be9379749f64e09559afd44bb14793c2c8463a15aa6e5b0080f339171,"DMSP-OLS stable lights, интеркалиброван, DN 0-63, ~1 км; глобальный файл не вендорится"
clip_dmsp_2008,Вырезка Беларуси calDMSP 2008,data/raw/nightlights/rasters/dmsp_2008.tif,CC BY 4.0,2026-07-14,e97573da74e7a7546150358377b52903733c8273164fcb61927d846565ddd579,"1170x606, маска adm1 all_touched, вне страны 0; max DN 60"
li_caldmsp_2009,Li et al. calDMSP 2009 (глобальный),https://ndownloader.figshare.com/files/17626019,"CC BY 4.0 (Li et al., figshare 9828827 v10)",2026-07-14,bd5fe071adee5e4adb575fa99155c40fda96ab939ef2b22f323695d56ec8fd42,"DMSP-OLS stable lights, интеркалиброван, DN 0-63, ~1 км; глобальный файл не вендорится"
clip_dmsp_2009,Вырезка Беларуси calDMSP 2009,data/raw/nightlights/rasters/dmsp_2009.tif,CC BY 4.0,2026-07-14,692156f0ddd61e33c678a8f98bb1b094fa09c64610b32428e9bd331f764690a3,"1170x606, маска adm1 all_touched, вне страны 0; max DN 59"
li_caldmsp_2010,Li et al. calDMSP 2010 (глобальный),https://ndownloader.figshare.com/files/17626022,"CC BY 4.0 (Li et al., figshare 9828827 v10)",2026-07-14,4b586f3a0e1cf06e729e72e4fa67dac6608632dd516e2371c85dd7c9a8e2f22c,"DMSP-OLS stable lights, интеркалиброван, DN 0-63, ~1 км; глобальный файл не вендорится"
clip_dmsp_2010,Вырезка Беларуси calDMSP 2010,data/raw/nightlights/rasters/dmsp_2010.tif,CC BY 4.0,2026-07-14,8d4af9042ba6ebd6c640bc1f5dafdc623c826184949df35d12aae40b390e5795,"1170x606, маска adm1 all_touched, вне страны 0; max DN 59"
li_caldmsp_2011,Li et al. calDMSP 2011 (глобальный),https://ndownloader.figshare.com/files/17626025,"CC BY 4.0 (Li et al., figshare 9828827 v10)",2026-07-14,66039870b662ef4d090f6212379d946f90c3e69c6e2fa0422b9e4e5f5fa6523f,"DMSP-OLS stable lights, интеркалиброван, DN 0-63, ~1 км; глобальный файл не вендорится"
