zone_id,year,dn_sum,lit_km2
r-viciebski,2014,33443.0,779.964
r-haradocki,2014,1414.0,77.415
r-hlybocki,2014,1810.0,76.237
r-dokshycki,2014,1487.0,58.463
r-dubrovienski,2014,2504.0,90.121
r-loznienski,2014,2280.0,109.484
r-lepielski,2014,3497.0,110.354
r-mijorski,2014,904.0,48.115
r-pastauski,2014,1052.0,47.734
r-polacki,2014,21257.0,414.823
r-rasonski,2014,238.0,13.025
r-siennienski,2014,1133.0,54.548
r-talachynski,2014,1275.0,83.595
r-ushacki,2014,197.0,12.777
r-chashnicki,2014,1858.0,69.087
r-sharkoushchynski,2014,404.0,21.03
r-shumilinski,2014,1059.0,54.372
r-akciabrski,2014,1168.0,61.643
r-brahinski,2014,551.0,43.793
r-buda-kashalouski,2014,2029.0,118.002
r-vietkauski,2014,981.0,71.624
r-homielski,2014,32886.0,910.314
r-dobrushski,2014,1652.0,88.354
r-jelski,2014,1196.0,62.268
r-zhlobinski,2014,10507.0,253.99
r-zhytkavicki,2014,1370.0,96.641
r-kalinkavicki,2014,2496.0,88.107
r-karmianski,2014,910.0,57.326
r-lelchycki,2014,869.0,51.726
r-lojeuski,2014,1049.0,73.636
r-mazyrski,2014,12265.0,343.491
r-naraulanski,2014,591.0,40.961
r-pietrykauski,2014,1192.0,91.315
r-rahachouski,2014,2200.0,110.6
r-rechycki,2014,7055.0,266.21
r-svietlahorski,2014,6577.0,217.364
r-chojnicki,2014,989.0,58.43
r-chacherski,2014,299.0,23.877
r-astraviecki,2014,4021.0,135.839
r-ashmianski,2014,1287.0,60.041
r-bierastavicki,2014,941.0,60.835
r-vaukavyski,2014,3775.0,147.426
r-voranauski,2014,885.0,62.521
r-hrodzienski,2014,25659.0,786.631
r-dziatlauski,2014,666.0,36.38
r-zelvienski,2014,283.0,18.063
r-iujeuski,2014,714.0,40.504
r-karelicki,2014,614.0,46.604
r-lidski,2014,5612.0,178.626
r-mastouski,2014,1222.0,61.527
r-navahrudski,2014,1216.0,50.54
r-svislacki,2014,718.0,51.798
r-slonimski,2014,4924.0,159.212
r-smarhonski,2014,2500.0,103.987
r-shchuchynski,2014,1719.0,107.65
r-barysauski,2014,18218.0,614.669
r-biarezinski,2014,1661.0,99.073
r-valozhynski,2014,2327.0,150.097
r-vilejski,2014,3228.0,180.825
r-dziarzhynski,2014,10824.0,414.675
r-kapylski,2014,2441.0,161.622
r-klecki,2014,1066.0,74.58
r-krupski,2014,2694.0,167.947
r-lahojski,2014,6636.0,366.29
r-lubanski,2014,1554.0,70.706
r-maladziechanski,2014,8481.0,307.144
r-minski,2014,87233.0,1770.323
r-miadzielski,2014,1081.0,78.817
r-niasvizhski,2014,4679.0,192.036
r-puchavicki,2014,7850.0,364.555
r-salihorski,2014,10302.0,339.732
r-slucki,2014,6528.0,272.543
r-smalavicki,2014,19579.0,781.758
r-staradarozhski,2014,1516.0,57.437
r-staubcouski,2014,2837.0,120.814
r-uzdzienski,2014,2354.0,112.063
r-chervienski,2014,2908.0,161.805
r-asipovicki,2014,2237.0,98.126
r-babrujski,2014,8917.0,229.198
r-bychauski,2014,1336.0,50.129
r-bialynicki,2014,650.0,44.022
r-hluski,2014,355.0,22.322
r-horacki,2014,2660.0,88.443
r-drybinski,2014,113.0,8.575
r-kasciukovicki,2014,2004.0,63.661
r-kirauski,2014,985.0,45.84
r-klimavicki,2014,747.0,38.807
r-klichauski,2014,339.0,24.575
r-krasnapolski,2014,70.0,5.152
r-kruhlanski,2014,183.0,13.071
r-krychauski,2014,4987.0,137.023
r-mahilouski,2014,21493.0,540.803
r-mscislauski,2014,1330.0,89.057
r-slauharadski,2014,311.0,17.94
r-chocimski,2014,221.0,16.93
r-chavuski,2014,495.0,36.603
r-cherykauski,2014,199.0,14.819
r-shklouski,2014,3185.0,142.876
BY-HM,2014,26139.0,215.072
BY,2014,609103.0,19793.959
r-baranavicki,2015,8828.0,241.608
r-brescki,2015,16657.0,350.652
r-biarozauski,2015,3982.0,172.298
r-hancavicki,2015,787.0,43.819
r-drahichynski,2015,1735.0,65.498
r-zhabinkauski,2015,1428.0,63.322
r-ivanauski,2015,1471.0,53.822
r-ivacevicki,2015,2412.0,108.394
r-kamianiecki,2015,959.0,60.406
r-kobrynski,2015,3295.0,127.125
r-luniniecki,2015,3647.0,129.649
r-lachavicki,2015,563.0,43.493
r-malarycki,2015,512.0,38.35
r-pinski,2015,5191.0,204.386
r-pruzhanski,2015,861.0,61.161
r-stolinski,2015,5117.0,261.121
r-arshanski,2015,12795.0,374.632
r-bieshankovicki,2015,170.0,12.824
r-braslauski,2015,264.0,16.022
r-vierchniadzvinski,2015,775.0,47.903
r-viciebski,2015,25056.0,586.42
r-haradocki,2015,1133.0,67.692
r-hlybocki,2015,1179.0,61.971
r-dokshycki,2015,1005.0,51.539
r-dubrovienski,2015,1899.0,77.668
r-loznienski,2015,1760.0,92.205
r-lepielski,2015,2331.0,89.074
r-mijorski,2015,700.0,44.72
r-pastauski,2015,894.0,45.766
r-polacki,2015,15314.0,388.952
r-rasonski,2015,320.0,19.794
r-siennienski,2015,833.0,48.099
r-talachynski,2015,951.0,62.074
