city_id,name_ru,reason,successor_city_id,decided_by,date
c-kasciukouka,Костюковка,включён в состав Гомеля (2016),c-homiel,registry (пререгистрация v0.1),2026-07-16
c-uschodni,Усходні,включён в состав Минска (1997),c-minsk,registry (пререгистрация v0.1),2026-07-16
