scenario,city_id,epoch,fixed_cells,core_cells,built_fixed_m2,built_core_m2,built_edge_m2,built_buffer_m2
t05_c0,c-sluck,1975,5649,102,2768981.0,233862.0,2312527.0,222592.0
t05_c0,c-smalavichy,1975,2799,457,900370.0,721774.0,67203.0,111393.0
t05_c0,c-smarhon,1975,3497,554,1250738.0,936000.0,230289.0,84449.0
t05_c0,c-staryja-darohi,1975,1927,247,604365.0,480366.0,57806.0,66193.0
t05_c0,c-stolin,1975,3229,413,1087311.0,719718.0,198258.0,169335.0
t05_c0,c-stoubcy,1975,2837,372,1139946.0,673628.0,341093.0,125225.0
t05_c0,c-svietlahorsk,1975,6017,428,2951474.0,786585.0,2033202.0,131687.0
t05_c0,c-talachyn,1975,2270,225,601137.0,316610.0,192710.0,91817.0
t05_c0,c-uzda,1975,1944,129,348194.0,152418.0,86326.0,109450.0
t05_c0,c-valozhyn,1975,2488,285,586576.0,406238.0,103047.0,77291.0
t05_c0,c-vasilevichy,1975,1827,245,433485.0,316737.0,50794.0,65954.0
t05_c0,c-vaukavysk,1975,4879,855,2218239.0,1611066.0,384493.0,222680.0
t05_c0,c-viciebsk,1975,6214,1327,5603463.0,3338997.0,818994.0,1445472.0
t05_c0,c-vietka,1975,2019,353,651698.0,583677.0,37221.0,30800.0
t05_c0,c-vilejka,1975,3580,713,1632069.0,1383654.0,123002.0,125413.0
t05_c0,c-zaslauje,1975,3097,173,1033024.0,479674.0,384970.0,168380.0
t05_c0,c-zhabinka,1975,2499,268,881371.0,495599.0,195849.0,189923.0
t05_c0,c-zhlobin,1975,6538,1231,3888078.0,2568243.0,1150922.0,168913.0
t05_c0,c-zhodzina,1975,3690,510,2009445.0,1344317.0,450174.0,214954.0
t05_c0,c-zhytkavichy,1975,2933,512,1200551.0,891297.0,188181.0,121073.0
t05_c0,c-ashmiany,1980,2717,379,1107930.0,749407.0,254683.0,103840.0
t05_c0,c-asipovichy,1980,4246,871,2340654.0,1942823.0,326584.0,71247.0
t05_c0,c-astraviec,1980,2121,298,613835.0,479644.0,64655.0,69536.0
t05_c0,c-babrujsk,1980,11046,3456,10242145.0,9146557.0,949466.0,146122.0
t05_c0,c-baran,1980,1193,134,403427.0,253906.0,35886.0,113635.0
